model,feature_set,fs,target,file,feature_count,feature_names,classes,class_boundaries,pipeline_contains_preprocessing,best_params,cv_mode,cv_folds,cv_repeats,cv_score_count,cv_macro_f1,cv_macro_f1_std,saved_cv_train_macro_f1,saved_cv_train_macro_f1_std,train_accuracy,train_balanced_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_f1,train_mcc,train_cohen_kappa,train_log_loss,train_roc_auc_ovr_macro,train_roc_auc_ovr_weighted,n_train,val_accuracy,val_balanced_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_mcc,val_cohen_kappa,val_log_loss,val_roc_auc_ovr_macro,val_roc_auc_ovr_weighted,n_val,test_accuracy,test_balanced_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_weighted_f1,test_mcc,test_cohen_kappa,test_log_loss,test_roc_auc_ovr_macro,test_roc_auc_ovr_weighted,n_test,val_balanced_error,test_balanced_error,train_cv_gap,train_val_gap,cv_val_gap,val_test_gap,abs_train_cv_gap,abs_cv_val_gap,abs_val_test_gap,possible_overfitting,possible_underfitting,high_cv_instability,split_sensitive,stable_generalization,generalization_diagnosis,rank_cv_macro_f1,rank_val_macro_f1,rank_cv_stability,rank_train_cv_gap,rank_val_balanced_error,selection_rank_score,Selection Rank,rank_test_macro_f1,rank_test_balanced_accuracy,rank_test_mcc,test_rank_score,Test Performance Rank,rank_generalization_gap,rank_generalization_cv_sd,rank_generalization_split_gap,generalization_rank_score,Generalization Rank
GBC,fs3,fs3,AC,GBC_fs3_AC_class.pkl,6,Distance|Depth|Ucs_class|LL|PL|FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__learning_rate"": 0.05, ""classifier__max_depth"": 2, ""classifier__n_estimators"": 100}",group,5,1,5,0.637676,0.187898,,,0.883268,0.890289,0.906767,0.890289,0.895382,0.881205,0.817867,0.813885,0.331581,0.974715,0.970331,257,,,,,,,,,,,,0,0.866667,0.897741,0.868351,0.897741,0.881907,0.866280,0.772095,0.771828,0.394389,0.952730,0.942049,75,,0.102259,0.257706,,,,0.257706,,,True,False,True,False,False,Overfitting with high CV instability,13.000000,18.500000,25.000000,21.000000,18.500000,17.000000,16,4.000000,4.500000,9.000000,5.150000,4,21.000000,25.000000,18.500000,22.600000,27
LOGREG,fs3,fs3,AC,LOGREG_fs3_AC_class.pkl,6,Distance|Depth|Ucs_class|LL|PL|FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__C"": 100, ""classifier__class_weight"": null, ""classifier__max_iter"": 3000, ""classifier__penalty"": ""l2"", ""classifier__solver"": ""lbfgs""}",group,5,1,5,0.625581,0.229951,,,0.739300,0.739833,0.751934,0.739833,0.735247,0.732072,0.592978,0.584343,0.558500,0.900302,0.888314,257,,,,,,,,,,,,0,0.880000,0.810287,0.839438,0.810287,0.823045,0.878025,0.791128,0.789260,0.374886,0.948373,0.946757,75,,0.189713,0.109666,,,,0.109666,,,False,False,True,False,False,High CV instability,17.000000,18.500000,33.000000,5.000000,18.500000,17.800000,17,14.000000,9.000000,6.000000,10.900000,9,5.000000,33.000000,18.500000,16.200000,14
DT,fs4,fs4,AC,DT_fs4_AC_class.pkl,4,Distance|Depth|Ucs_class|PI,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__class_weight"": null, ""classifier__criterion"": ""entropy"", ""classifier__max_depth"": 5, ""classifier__min_samples_leaf"": 2, ""classifier__min_samples_split"": 5}",group,5,1,5,0.611278,0.161847,,,0.824903,0.822855,0.876064,0.822855,0.830560,0.815099,0.737427,0.715820,0.357653,0.937347,0.926561,257,,,,,,,,,,,,0,0.746667,0.701313,0.827020,0.701313,0.743613,0.742355,0.552569,0.539877,3.721305,0.840146,0.792118,75,,0.298687,0.219282,,,,0.219282,,,True,False,True,False,False,Overfitting with high CV instability,22.000000,18.500000,15.000000,17.000000,18.500000,19.600000,18,30.000000,31.000000,31.000000,30.500000,31,17.000000,15.000000,18.500000,16.200000,13
XGB,fs3,fs3,AC,XGB_fs3_AC_class.pkl,6,Distance|Depth|Ucs_class|LL|PL|FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__colsample_bytree"": 0.8, ""classifier__learning_rate"": 0.01, ""classifier__max_depth"": 9, ""classifier__n_estimators"": 100, ""classifier__subsample"": 0.8}",group,5,1,5,0.633856,0.202448,,,0.961089,0.963819,0.965046,0.963819,0.964169,0.960851,0.938871,0.938577,0.560840,0.996193,0.995545,257,,,,,,,,,,,,0,0.840000,0.784646,0.836973,0.784646,0.805717,0.838171,0.719965,0.719189,0.697832,0.948620,0.934754,75,,0.215354,0.330313,,,,0.330313,,,True,False,True,False,False,Overfitting with high CV instability,14.000000,18.500000,27.000000,30.000000,18.500000,19.800000,19,19.000000,18.500000,17.000000,18.450000,18,30.000000,27.000000,18.500000,28.800000,35
ET,fs4,fs4,AC,ET_fs4_AC_class.pkl,4,Distance|Depth|Ucs_class|PI,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__class_weight"": ""balanced"", ""classifier__max_depth"": 20, ""classifier__min_samples_leaf"": 1, ""classifier__n_estimators"": 500}",group,5,1,5,0.619448,0.138859,,,0.996109,0.997199,0.996078,0.997199,0.996621,0.996112,0.993898,0.993874,0.005541,0.999978,0.999975,257,,,,,,,,,,,,0,0.746667,0.704670,0.822464,0.704670,0.746003,0.744278,0.550521,0.543123,0.621212,0.853698,0.806980,75,,0.295330,0.377173,,,,0.377173,,,True,False,False,False,False,Possible overfitting,19.000000,18.500000,9.000000,33.000000,18.500000,19.800000,19,29.000000,30.000000,32.000000,29.900000,30,33.000000,9.000000,18.500000,23.400000,29
XGB,fs4,fs4,AC,XGB_fs4_AC_class.pkl,4,Distance|Depth|Ucs_class|PI,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__colsample_bytree"": 0.8, ""classifier__learning_rate"": 0.01, ""classifier__max_depth"": 9, ""classifier__n_estimators"": 100, ""classifier__subsample"": 0.8}",group,5,1,5,0.620860,0.168331,,,0.918288,0.920168,0.940731,0.920168,0.926580,0.916705,0.874507,0.869609,0.577614,0.991118,0.989578,257,,,,,,,,,,,,0,0.773333,0.725122,0.843599,0.725122,0.766667,0.770872,0.599269,0.591215,0.738408,0.876874,0.836483,75,,0.274878,0.305720,,,,0.305720,,,True,False,True,False,False,Overfitting with high CV instability,18.000000,18.500000,21.000000,27.000000,18.500000,20.400000,21,26.000000,28.000000,29.000000,27.200000,27,27.000000,21.000000,18.500000,24.600000,31
LOGREG,fs4,fs4,AC,LOGREG_fs4_AC_class.pkl,4,Distance|Depth|Ucs_class|PI,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__max_iter"": 3000, ""classifier__penalty"": ""l2"", ""classifier__solver"": ""lbfgs""}",group,5,1,5,0.568966,0.144131,,,0.688716,0.679687,0.711480,0.679687,0.679190,0.682785,0.512849,0.501165,0.691632,0.838898,0.818666,257,,,,,,,,,,,,0,0.666667,0.656746,0.613122,0.656746,0.621620,0.676691,0.453893,0.449985,0.640222,0.867869,0.841512,75,,0.343254,0.110224,,,,0.110224,,,False,False,False,False,False,Moderate generalization,29.000000,18.500000,12.000000,6.000000,18.500000,21.000000,22,36.000000,35.000000,36.000000,35.700000,36,6.000000,12.000000,18.500000,8.400000,4
ET,fs3,fs3,AC,ET_fs3_AC_class.pkl,6,Distance|Depth|Ucs_class|LL|PL|FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__class_weight"": ""balanced"", ""classifier__max_depth"": 5, ""classifier__min_samples_leaf"": 1, ""classifier__n_estimators"": 300}",group,5,1,5,0.598802,0.162565,,,0.809339,0.815022,0.815058,0.815022,0.802337,0.797838,0.707641,0.697182,0.585868,0.959884,0.953063,257,,,,,,,,,,,,0,0.813333,0.764194,0.786905,0.764194,0.774513,0.812208,0.674661,0.674419,0.644234,0.925988,0.913262,75,,0.235806,0.203535,,,,0.203535,,,True,False,True,False,False,Overfitting with high CV instability,25.000000,18.500000,16.000000,15.000000,18.500000,21.200000,23,23.000000,22.000000,23.000000,22.700000,23,15.000000,16.000000,18.500000,15.400000,11
ANN,fs1,fs1,AC,ANN_fs1_AC_class.pkl,4,Distance|Depth|Ucs_class|PI/FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__activation"": ""relu"", ""classifier__alpha"": 0.01, ""classifier__batch_size"": 16, ""classifier__early_stopping"": true, ""classifier__hidden_layer_sizes"": [64, 32], ""classifier__learning_rate_init"": 0.005, ""classifier__max_iter"": 3000, ""classifier__solver"": ""adam""}",group,5,1,5,0.608146,0.205396,,,0.809339,0.812818,0.826685,0.812818,0.806356,0.799290,0.707579,0.695498,0.462977,0.928563,0.920249,257,,,,,,,,,,,,0,0.853333,0.793193,0.896825,0.793193,0.830190,0.851434,0.741669,0.739172,0.430703,0.930987,0.923713,75,,0.206807,0.198210,,,,0.198210,,,True,False,True,False,False,Overfitting with high CV instability,23.000000,18.500000,28.000000,14.000000,18.500000,22.200000,24,11.000000,16.000000,14.000000,13.100000,13,14.000000,28.000000,18.500000,19.600000,20
ET,fs2,fs2,AC,ET_fs2_AC_class.pkl,5,Distance|Depth|Ucs_class|PI|FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__class_weight"": ""balanced"", ""classifier__max_depth"": 10, ""classifier__min_samples_leaf"": 2, ""classifier__n_estimators"": 500}",group,5,1,5,0.602360,0.141234,,,0.953307,0.959384,0.952890,0.959384,0.956006,0.953213,0.926744,0.926652,0.330761,0.993272,0.992200,257,,,,,,,,,,,,0,0.813333,0.760836,0.868504,0.760836,0.799500,0.811937,0.670106,0.666878,0.501622,0.943642,0.927453,75,,0.239164,0.353646,,,,0.353646,,,True,False,False,False,False,Possible overfitting,24.000000,18.500000,10.000000,31.000000,18.500000,22.600000,25,20.000000,23.000000,24.000000,21.700000,22,31.000000,10.000000,18.500000,22.600000,26
