model,feature_set,fs,target,file,feature_count,feature_names,classes,class_boundaries,pipeline_contains_preprocessing,best_params,cv_mode,cv_folds,cv_repeats,cv_score_count,cv_macro_f1,cv_macro_f1_std,saved_cv_train_macro_f1,saved_cv_train_macro_f1_std,train_accuracy,train_balanced_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_f1,train_mcc,train_cohen_kappa,train_log_loss,train_roc_auc_ovr_macro,train_roc_auc_ovr_weighted,n_train,val_accuracy,val_balanced_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_mcc,val_cohen_kappa,val_log_loss,val_roc_auc_ovr_macro,val_roc_auc_ovr_weighted,n_val,test_accuracy,test_balanced_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_weighted_f1,test_mcc,test_cohen_kappa,test_log_loss,test_roc_auc_ovr_macro,test_roc_auc_ovr_weighted,n_test,val_balanced_error,test_balanced_error,train_cv_gap,train_val_gap,cv_val_gap,val_test_gap,abs_train_cv_gap,abs_cv_val_gap,abs_val_test_gap,possible_overfitting,possible_underfitting,high_cv_instability,split_sensitive,stable_generalization,generalization_diagnosis,rank_cv_macro_f1,rank_val_macro_f1,rank_cv_stability,rank_train_cv_gap,rank_val_balanced_error,selection_rank_score,Selection Rank,rank_test_macro_f1,rank_test_balanced_accuracy,rank_test_mcc,test_rank_score,Test Performance Rank,rank_generalization_gap,rank_generalization_cv_sd,rank_generalization_split_gap,generalization_rank_score,Generalization Rank
SVC,fs4,fs4,AC,SVC_fs4_AC_class.pkl,4,Distance|Depth|Ucs_class|PI,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",group,5,1,5,0.565127,0.143779,,,0.770428,0.787011,0.762587,0.787011,0.761732,0.761669,0.649785,0.642180,0.500779,0.913579,0.903481,257,,,,,,,,,,,,0,0.786667,0.733669,0.856923,0.733669,0.776094,0.783477,0.625031,0.613900,0.557158,0.901838,0.879696,75,,0.266331,0.196605,,,,0.196605,,,True,False,False,False,False,Possible overfitting,30.000000,18.500000,11.000000,13.000000,18.500000,22.800000,26,22.000000,24.500000,27.000000,23.750000,24,13.000000,11.000000,18.500000,12.200000,6
DT,fs1,fs1,AC,DT_fs1_AC_class.pkl,4,Distance|Depth|Ucs_class|PI/FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__class_weight"": null, ""classifier__criterion"": ""gini"", ""classifier__max_depth"": 5, ""classifier__min_samples_leaf"": 1, ""classifier__min_samples_split"": 5}",group,5,1,5,0.589577,0.163107,,,0.840467,0.837561,0.889083,0.837561,0.846381,0.832467,0.761144,0.741525,0.284800,0.957178,0.949973,257,,,,,,,,,,,,0,0.786667,0.726954,0.873409,0.726954,0.771619,0.779678,0.636013,0.608355,2.644780,0.852609,0.862671,75,,0.273046,0.256804,,,,0.256804,,,True,False,True,False,False,Overfitting with high CV instability,26.000000,18.500000,17.000000,20.000000,18.500000,23.000000,27,25.000000,27.000000,25.000000,25.600000,25,20.000000,17.000000,18.500000,18.800000,16
RF,fs4,fs4,AC,RF_fs4_AC_class.pkl,4,Distance|Depth|Ucs_class|PI,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__class_weight"": ""balanced"", ""classifier__max_depth"": 20, ""classifier__min_samples_leaf"": 1, ""classifier__min_samples_split"": 2, ""classifier__n_estimators"": 300}",group,5,1,5,0.615791,0.168041,,,0.996109,0.996032,0.997222,0.996032,0.996609,0.996105,0.993888,0.993864,0.131516,0.999978,0.999975,257,,,,,,,,,,,,0,0.733333,0.696123,0.810370,0.696123,0.736794,0.731827,0.525938,0.520767,0.573413,0.866298,0.820847,75,,0.303877,0.380818,,,,0.380818,,,True,False,True,False,False,Overfitting with high CV instability,21.000000,18.500000,20.000000,34.000000,18.500000,23.400000,28,32.000000,32.000000,35.000000,32.600000,33,34.000000,20.000000,18.500000,28.400000,34
KNN,fs4,fs4,AC,KNN_fs4_AC_class.pkl,4,Distance|Depth|Ucs_class|PI,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__n_neighbors"": 5, ""classifier__p"": 2, ""classifier__weights"": ""uniform""}",group,5,1,5,0.562262,0.127324,,,0.801556,0.803973,0.807448,0.803973,0.800648,0.794963,0.689351,0.684252,0.374480,0.946128,0.940784,257,,,,,,,,,,,,0,0.773333,0.692002,0.851751,0.692002,0.738787,0.767672,0.599381,0.585635,3.656235,0.828183,0.832703,75,,0.307998,0.238385,,,,0.238385,,,True,False,False,False,False,Possible overfitting,31.000000,18.500000,8.000000,19.000000,18.500000,24.000000,29,31.000000,33.000000,28.000000,31.000000,32,19.000000,8.000000,18.500000,14.600000,9
KNN,fs1,fs1,AC,KNN_fs1_AC_class.pkl,4,Distance|Depth|Ucs_class|PI/FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__n_neighbors"": 7, ""classifier__p"": 1, ""classifier__weights"": ""uniform""}",group,5,1,5,0.588091,0.169093,,,0.817121,0.822051,0.825595,0.822051,0.818445,0.811723,0.714556,0.709472,0.407262,0.942752,0.937063,257,,,,,,,,,,,,0,0.866667,0.801740,0.908699,0.801740,0.840002,0.864455,0.765744,0.762056,2.659378,0.885223,0.887174,75,,0.198260,0.230354,,,,0.230354,,,True,False,True,False,False,Overfitting with high CV instability,27.000000,18.500000,22.000000,18.000000,18.500000,24.200000,30,8.000000,12.000000,11.000000,9.800000,8,18.000000,22.000000,18.500000,19.600000,20
GBC,fs4,fs4,AC,GBC_fs4_AC_class.pkl,4,Distance|Depth|Ucs_class|PI,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__learning_rate"": 0.01, ""classifier__max_depth"": 3, ""classifier__n_estimators"": 200}",group,5,1,5,0.585614,0.153095,,,0.863813,0.865909,0.894363,0.865909,0.871374,0.859280,0.791663,0.781548,0.419702,0.956899,0.948983,257,,,,,,,,,,,,0,0.733333,0.689408,0.725146,0.689408,0.695820,0.727288,0.539611,0.524865,0.574027,0.861681,0.820679,75,,0.310592,0.285760,,,,0.285760,,,True,False,True,False,False,Overfitting with high CV instability,28.000000,18.500000,13.000000,24.000000,18.500000,24.200000,30,34.000000,34.000000,33.000000,33.800000,34,24.000000,13.000000,18.500000,19.600000,19
KNN,fs2,fs2,AC,KNN_fs2_AC_class.pkl,5,Distance|Depth|Ucs_class|PI|FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__n_neighbors"": 11, ""classifier__p"": 1, ""classifier__weights"": ""distance""}",group,5,1,5,0.556963,0.108146,,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,257,,,,,,,,,,,,0,0.786667,0.733669,0.772717,0.733669,0.748366,0.782614,0.628025,0.621451,1.391010,0.902628,0.873514,75,,0.266331,0.443037,,,,0.443037,,,True,False,False,False,False,Possible overfitting,32.000000,18.500000,4.000000,35.000000,18.500000,27.000000,32,28.000000,24.500000,26.000000,26.550000,26,35.000000,4.000000,18.500000,22.600000,27
ANN,fs2,fs2,AC,ANN_fs2_AC_class.pkl,5,Distance|Depth|Ucs_class|PI|FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__activation"": ""tanh"", ""classifier__alpha"": 0.001, ""classifier__batch_size"": 8, ""classifier__early_stopping"": true, ""classifier__hidden_layer_sizes"": [16], ""classifier__learning_rate_init"": 0.005, ""classifier__max_iter"": 3000, ""classifier__solver"": ""adam""}",group,5,1,5,0.554825,0.234020,,,0.692607,0.658237,0.719215,0.658237,0.647444,0.660698,0.530664,0.495339,0.741460,0.828163,0.823240,257,,,,,,,,,,,,0,0.800000,0.732143,0.748818,0.732143,0.711416,0.796476,0.677473,0.653633,0.608388,0.887963,0.922569,75,,0.267857,0.092618,,,,0.092618,,,False,False,True,False,False,High CV instability,33.000000,18.500000,36.000000,2.000000,18.500000,27.400000,33,33.000000,26.000000,22.000000,28.700000,29,2.000000,36.000000,18.500000,15.600000,12
ANN,fs3,fs3,AC,ANN_fs3_AC_class.pkl,6,Distance|Depth|Ucs_class|LL|PL|FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__activation"": ""relu"", ""classifier__alpha"": 0.01, ""classifier__batch_size"": 16, ""classifier__early_stopping"": true, ""classifier__hidden_layer_sizes"": [64, 32], ""classifier__learning_rate_init"": 0.005, ""classifier__max_iter"": 3000, ""classifier__solver"": ""adam""}",group,5,1,5,0.539463,0.160509,,,0.824903,0.832062,0.834946,0.832062,0.824173,0.817283,0.729956,0.721968,0.421423,0.943620,0.936356,257,,,,,,,,,,,,0,0.826667,0.769383,0.831147,0.769383,0.794253,0.824290,0.695574,0.692623,0.476852,0.936199,0.922505,75,,0.230617,0.284710,,,,0.284710,,,True,False,True,False,False,Overfitting with high CV instability,34.000000,18.500000,14.000000,23.000000,18.500000,27.800000,34,21.000000,21.000000,20.000000,20.800000,21,23.000000,14.000000,18.500000,19.400000,18
ANN,fs4,fs4,AC,ANN_fs4_AC_class.pkl,4,Distance|Depth|Ucs_class|PI,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__activation"": ""tanh"", ""classifier__alpha"": 0.0001, ""classifier__batch_size"": 16, ""classifier__early_stopping"": true, ""classifier__hidden_layer_sizes"": [32, 16], ""classifier__learning_rate_init"": 0.005, ""classifier__max_iter"": 3000, ""classifier__solver"": ""adam""}",group,5,1,5,0.436976,0.115323,,,0.797665,0.800913,0.817933,0.800913,0.794505,0.785440,0.689838,0.675796,0.510414,0.908636,0.896835,257,,,,,,,,,,,,0,0.760000,0.709860,0.841270,0.709860,0.752854,0.754735,0.579309,0.562541,0.537718,0.894461,0.861962,75,,0.290140,0.357529,,,,0.357529,,,True,False,False,False,False,Possible overfitting,36.000000,18.500000,5.000000,32.000000,18.500000,29.000000,35,27.000000,29.000000,30.000000,28.200000,28,32.000000,5.000000,18.500000,21.200000,23
KNN,fs3,fs3,AC,KNN_fs3_AC_class.pkl,6,Distance|Depth|Ucs_class|LL|PL|FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__n_neighbors"": 3, ""classifier__p"": 2, ""classifier__weights"": ""distance""}",group,5,1,5,0.503405,0.126500,,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,257,,,,,,,,,,,,0,0.733333,0.643315,0.735380,0.643315,0.666844,0.727818,0.533064,0.529338,3.688410,0.824088,0.828056,75,,0.356685,0.496595,,,,0.496595,,,True,False,False,False,False,Possible overfitting,35.000000,18.500000,7.000000,36.000000,18.500000,29.600000,36,35.000000,36.000000,34.000000,35.100000,35,36.000000,7.000000,18.500000,24.400000,30
