,pearson_with_target
PI/FF,0.6120807547361681
FF,-0.5489036906767463
PI,0.3796273225370028
LL,0.26219482379815695
Distance,-0.2341991116091611
Depth,-0.2214316452892508
Ucs_class,0.21043839588470387
PL,-0.054649832316643956
