column,n,mean,std,skewness,excess_kurtosis,shapiro_w,shapiro_p,dagostino_k2,dagostino_p,anderson_statistic,anderson_critical_5pct,anderson_decision_5pct,alpha,normality_decision_shapiro,plot,note
AC,332,0.9087497765512047,0.41661328155041794,1.4364031169321445,1.3935230897944777,0.8239900619865749,9.666481901018058e-19,81.24268601038072,2.282311325427795e-18,19.611556845676546,0.778,Non-normal,0.05,Non-normal,G:\Researching\Geo_MLops_2026\data_processing_report\dq_report\normality\AC_normality.png,
Distance,332,5483.532059897289,4374.078142453059,0.979901948713515,0.10174266997717041,0.873709317543477,7.428966183986048e-16,40.335503947898324,1.7428363338132087e-09,12.119252088049734,0.778,Non-normal,0.05,Non-normal,G:\Researching\Geo_MLops_2026\data_processing_report\dq_report\normality\Distance_normality.png,
Depth,332,8.691705095542169,8.677281532906697,1.3267138465411157,0.8879534542382639,0.8155497748126157,3.6052506669891436e-19,68.83205944570817,1.130597972607125e-15,22.50895981409724,0.778,Non-normal,0.05,Non-normal,G:\Researching\Geo_MLops_2026\data_processing_report\dq_report\normality\Depth_normality.png,
Ucs_class,332,0.4126506024096386,0.4930540727345424,0.3564671411855524,-1.8843191037879656,0.6253040318007275,2.7269336406157253e-26,1667.2540368632065,0.0,61.91334180023284,0.778,Non-normal,0.05,Non-normal,G:\Researching\Geo_MLops_2026\data_processing_report\dq_report\normality\Ucs_class_normality.png,
PI/FF,332,0.3078308491506024,0.10239505399524998,1.5547444902312304,3.0274726572616153,0.8702485498852827,4.423274012831425e-16,105.03242912189465,1.5577501643014024e-23,12.936078193451976,0.778,Non-normal,0.05,Non-normal,G:\Researching\Geo_MLops_2026\data_processing_report\dq_report\normality\PI_FF_normality.png,
PI,332,25.346385542168676,6.722637426316534,1.4495337837925124,5.059329483617695,0.9173441867319082,1.494440659061576e-12,114.17239600124182,1.613538065689805e-25,4.82389095512309,0.778,Non-normal,0.05,Non-normal,G:\Researching\Geo_MLops_2026\data_processing_report\dq_report\normality\PI_normality.png,
FF,332,84.57228915662651,12.101192802839035,-1.3110223921022859,0.754705647700038,0.8237442029521305,9.388133137460504e-19,66.46783712638921,3.687164858540623e-15,20.869105749679306,0.778,Non-normal,0.05,Non-normal,G:\Researching\Geo_MLops_2026\data_processing_report\dq_report\normality\FF_normality.png,
LL,332,48.69277108433735,8.910542764518636,0.9184062521146483,2.364226922046803,0.9520778643212904,6.2604688828929405e-09,58.259091027700904,2.2345965451793183e-13,3.7214293284459927,0.778,Non-normal,0.05,Non-normal,G:\Researching\Geo_MLops_2026\data_processing_report\dq_report\normality\LL_normality.png,
PL,332,23.346385542168676,3.948752398732705,-0.023994081189305634,0.8529652589552561,0.9825769717530711,0.00047329680918984377,6.26719298442584,0.04356084893623844,2.0347684796721524,0.778,Non-normal,0.05,Non-normal,G:\Researching\Geo_MLops_2026\data_processing_report\dq_report\normality\PL_normality.png,
