,AC,Distance,Depth,Ucs_class,PI/FF,PI,FF,LL,PL
AC,1.0,-0.419129389611286,-0.1961318294822835,0.29572793323072843,0.6317409668922535,0.4390974077960236,-0.5503526683998716,0.3280227811412669,0.03888034603427582
Distance,-0.419129389611286,1.0,0.05931314070577523,-0.19515315745112277,-0.5119559953030085,-0.3158744248227028,0.4163085192629021,-0.16318421126639115,0.11040429438448499
Depth,-0.1961318294822835,0.05931314070577523,1.0,0.048152760660320024,-0.03542282798003787,0.027566154748146544,0.09631088708178134,0.07429941515750274,0.16716320002465765
Ucs_class,0.29572793323072843,-0.19515315745112277,0.048152760660320024,1.0,0.6281293199065747,0.7657507886021765,0.013119818520995573,0.8535852316381997,0.5474961059181847
PI/FF,0.6317409668922535,-0.5119559953030085,-0.03542282798003787,0.6281293199065747,1.0,0.8508001524151201,-0.42339668336704717,0.7161607935296402,0.2210107459137269
PI,0.4390974077960236,-0.3158744248227028,0.027566154748146544,0.7657507886021765,0.8508001524151201,1.0,-0.0013044988066205562,0.8968118666734619,0.3668767538855186
FF,-0.5503526683998716,0.4163085192629021,0.09631088708178134,0.013119818520995573,-0.42339668336704717,-0.0013044988066205562,1.0,0.08876546575240682,0.19965213919865382
LL,0.3280227811412669,-0.16318421126639115,0.07429941515750274,0.8535852316381997,0.7161607935296402,0.8968118666734619,0.08876546575240682,1.0,0.6972301210938308
PL,0.03888034603427582,0.11040429438448499,0.16716320002465765,0.5474961059181847,0.2210107459137269,0.3668767538855186,0.19965213919865382,0.6972301210938308,1.0
