FeatureSet,Target,n,R2_LR,R2_GPR
AC_fs1,AC,332,0.4230480245410757,0.46935919453147634
AC_fs2,AC,332,0.47225035232657187,0.8922837345360629
AC_fs3,AC,332,0.47373449908893195,0.9038378986477068
AC_fs4,AC,332,0.21614587267674257,0.7415600280078332
