,count,mean,std,min,25%,50%,75%,max
AC,332.0,0.9087497765512047,0.41661328155041794,0.501920349,0.60668334375,0.7682831480000001,1.0652788725,2.362030069
Distance,332.0,5483.532059897289,4374.078142453059,427.6438999,1837.32739775,4533.323908,8054.613267,15471.66665
Depth,332.0,8.691705095542169,8.677281532906697,0.0,2.0,5.0,13.0,39.0
Ucs_class,332.0,0.4126506024096386,0.4930540727345424,0.0,0.0,0.0,1.0,1.0
PI/FF,332.0,0.3078308491506024,0.10239505399524998,0.134831461,0.242105263,0.274204743,0.35016233775,0.805970149
PI,332.0,25.346385542168676,6.722637426316534,12.0,21.0,25.0,28.25,66.0
FF,332.0,84.57228915662651,12.101192802839035,50.0,80.0,90.0,93.0,98.0
LL,332.0,48.69277108433735,8.910542764518636,26.0,43.0,48.0,52.0,87.0
PL,332.0,23.346385542168676,3.948752398732705,8.0,21.0,24.0,26.0,36.0
