,AC,Distance,Depth,Ucs_class,PI/FF,PI,FF,LL,PL
AC,1.0,-0.2341991116091611,-0.2214316452892508,0.21043839588470387,0.6120807547361681,0.3796273225370028,-0.5489036906767463,0.26219482379815695,-0.054649832316643956
Distance,-0.2341991116091611,1.0,0.008573600042287273,-0.20076843913046935,-0.4408433112469603,-0.28826756692756655,0.40219094882406303,-0.17019999094588026,0.10670307829676182
Depth,-0.2214316452892508,0.008573600042287273,1.0,0.11603002092879006,-0.06320999798967497,0.03229998946804362,0.11510096788749889,0.11896737041471844,0.21346558063901297
Ucs_class,0.21043839588470387,-0.20076843913046935,0.11603002092879006,1.0,0.5432714547042011,0.6840921508109107,0.016505121329456696,0.7434218001422793,0.5129185225192695
PI/FF,0.6120807547361681,-0.4408433112469603,-0.06320999798967497,0.5432714547042011,1.0,0.8323361894427127,-0.5565733451991729,0.6958188790270645,0.1531191116715392
PI,0.3796273225370028,-0.28826756692756655,0.03229998946804362,0.6840921508109107,0.8323361894427127,1.0,-0.029888165282478084,0.9098055748374189,0.3505471895665083
FF,-0.5489036906767463,0.40219094882406303,0.11510096788749889,0.016505121329456696,-0.5565733451991729,-0.029888165282478084,1.0,0.0825239564401219,0.23710287375561284
LL,0.26219482379815695,-0.17019999094588026,0.11896737041471844,0.7434218001422793,0.6958188790270645,0.9098055748374189,0.0825239564401219,1.0,0.7076285049784197
PL,-0.054649832316643956,0.10670307829676182,0.21346558063901297,0.5129185225192695,0.1531191116715392,0.3505471895665083,0.23710287375561284,0.7076285049784197,1.0
