model,feature_set,fs,target,file,feature_count,feature_names,classes,class_boundaries,pipeline_contains_preprocessing,best_params,cv_mode,cv_folds,cv_repeats,cv_score_count,cv_macro_f1,cv_macro_f1_std,saved_cv_train_macro_f1,saved_cv_train_macro_f1_std,train_accuracy,train_balanced_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_f1,train_mcc,train_cohen_kappa,train_log_loss,train_roc_auc_ovr_macro,train_roc_auc_ovr_weighted,n_train,val_accuracy,val_balanced_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_mcc,val_cohen_kappa,val_log_loss,val_roc_auc_ovr_macro,val_roc_auc_ovr_weighted,n_val,test_accuracy,test_balanced_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_weighted_f1,test_mcc,test_cohen_kappa,test_log_loss,test_roc_auc_ovr_macro,test_roc_auc_ovr_weighted,n_test,val_balanced_error,test_balanced_error,train_cv_gap,train_val_gap,cv_val_gap,val_test_gap,abs_train_cv_gap,abs_cv_val_gap,abs_val_test_gap,possible_overfitting,possible_underfitting,high_cv_instability,split_sensitive,stable_generalization,generalization_diagnosis,rank_cv_macro_f1,rank_val_macro_f1,rank_cv_stability,rank_train_cv_gap,rank_val_balanced_error,selection_rank_score,Selection Rank,rank_test_macro_f1,rank_test_balanced_accuracy,rank_test_mcc,test_rank_score,Test Performance Rank,rank_generalization_gap,rank_generalization_cv_sd,rank_generalization_split_gap,generalization_rank_score,Generalization Rank
DT,fs1,fs1,AC,DT_fs1_AC_class.pkl,2,Ucs_class|PI/FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__class_weight"": null, ""classifier__criterion"": ""gini"", ""classifier__max_depth"": 3, ""classifier__min_samples_leaf"": 1, ""classifier__min_samples_split"": 2}",group,5,1,5,0.563052,0.119437,,,0.708171,0.694859,0.758364,0.694859,0.706667,0.709941,0.549616,0.538555,0.634440,0.851002,0.846099,257,,,,,,,,,,,,0,0.773333,0.715507,0.751368,0.715507,0.719769,0.771094,0.630164,0.614104,0.529634,0.878166,0.893816,75,,0.284493,0.143615,,,,0.143615,,,False,False,False,False,False,Moderate generalization,12.000000,18.500000,23.000000,17.000000,18.500000,15.200000,11,10.000000,11.000000,11.000000,10.500000,11,17.000000,23.000000,18.500000,19.400000,22
GBC,fs2,fs2,AC,GBC_fs2_AC_class.pkl,3,Ucs_class|PI|FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__learning_rate"": 0.05, ""classifier__max_depth"": 2, ""classifier__n_estimators"": 100}",group,5,1,5,0.598275,0.129438,,,0.782101,0.763124,0.818580,0.763124,0.782090,0.779178,0.655804,0.646136,0.504519,0.929659,0.920352,257,,,,,,,,,,,,0,0.760000,0.680098,0.668391,0.680098,0.665000,0.766467,0.597712,0.592637,0.566872,0.896934,0.914716,75,,0.319902,0.183815,,,,0.183815,,,True,False,False,False,False,Possible overfitting,9.000000,18.500000,27.000000,25.000000,18.500000,15.800000,12,16.000000,20.000000,17.000000,17.400000,18,25.000000,27.000000,18.500000,25.800000,34
SVC,fs3,fs3,AC,SVC_fs3_AC_class.pkl,4,Ucs_class|LL|PL|FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__C"": 100, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""linear""}",group,5,1,5,0.575090,0.156192,,,0.704280,0.680646,0.696171,0.680646,0.676219,0.692260,0.536271,0.525819,0.728392,0.834715,0.834621,257,,,,,,,,,,,,0,0.746667,0.687882,0.715626,0.687882,0.643782,0.758205,0.617349,0.584790,0.603730,0.845679,0.904435,75,,0.312118,0.101130,,,,0.101130,,,False,False,True,False,False,High CV instability,11.000000,18.500000,35.000000,13.000000,18.500000,16.200000,13,19.000000,17.500000,13.000000,17.350000,17,13.000000,35.000000,18.500000,21.800000,26
LOGREG,fs3,fs3,AC,LOGREG_fs3_AC_class.pkl,4,Ucs_class|LL|PL|FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__max_iter"": 3000, ""classifier__penalty"": ""l2"", ""classifier__solver"": ""lbfgs""}",group,5,1,5,0.544468,0.120571,,,0.684825,0.664306,0.667962,0.664306,0.657137,0.672747,0.504252,0.496700,0.786900,0.817189,0.819166,257,,,,,,,,,,,,0,0.706667,0.655525,0.678571,0.655525,0.602803,0.717177,0.561240,0.526270,0.741627,0.818032,0.857600,75,,0.344475,0.112669,,,,0.112669,,,False,False,False,False,False,Moderate generalization,14.000000,18.500000,25.000000,15.000000,18.500000,16.400000,14,23.000000,22.000000,20.000000,22.100000,23,15.000000,25.000000,18.500000,19.000000,18
ANN,fs3,fs3,AC,ANN_fs3_AC_class.pkl,4,Ucs_class|LL|PL|FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__activation"": ""relu"", ""classifier__alpha"": 0.01, ""classifier__batch_size"": 16, ""classifier__early_stopping"": true, ""classifier__hidden_layer_sizes"": [64, 32], ""classifier__learning_rate_init"": 0.005, ""classifier__max_iter"": 3000, ""classifier__solver"": ""adam""}",group,5,1,5,0.539994,0.102357,,,0.712062,0.688323,0.709593,0.688323,0.684154,0.694119,0.549168,0.534169,0.637462,0.870204,0.868568,257,,,,,,,,,,,,0,0.773333,0.688645,0.676521,0.688645,0.673333,0.779467,0.620537,0.615269,0.610246,0.842492,0.882383,75,,0.311355,0.144160,,,,0.144160,,,False,False,False,False,False,Moderate generalization,16.000000,18.500000,16.000000,19.000000,18.500000,16.600000,15,15.000000,16.000000,12.000000,14.700000,15,19.000000,16.000000,18.500000,17.800000,15
ANN,fs4,fs4,AC,ANN_fs4_AC_class.pkl,2,Ucs_class|PI,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__activation"": ""relu"", ""classifier__alpha"": 0.01, ""classifier__batch_size"": 16, ""classifier__early_stopping"": true, ""classifier__hidden_layer_sizes"": [64, 32], ""classifier__learning_rate_init"": 0.005, ""classifier__max_iter"": 3000, ""classifier__solver"": ""adam""}",group,5,1,5,0.499649,0.103440,,,0.626459,0.555763,0.633844,0.555763,0.562978,0.597443,0.397183,0.371830,0.808956,0.783196,0.779016,257,,,,,,,,,,,,0,0.653333,0.558455,0.600373,0.558455,0.562963,0.634667,0.390221,0.371778,0.772833,0.764367,0.792756,75,,0.441545,0.063330,,,,0.063330,,,False,False,False,False,False,Moderate generalization,22.000000,18.500000,17.000000,5.000000,18.500000,17.600000,16,28.500000,28.500000,32.500000,29.300000,28,5.000000,17.000000,18.500000,9.800000,3
KNN,fs2,fs2,AC,KNN_fs2_AC_class.pkl,3,Ucs_class|PI|FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__n_neighbors"": 7, ""classifier__p"": 2, ""classifier__weights"": ""distance""}",group,5,1,5,0.521930,0.058123,,,0.926070,0.921491,0.946082,0.921491,0.931489,0.925848,0.885066,0.881970,0.123996,0.992161,0.990653,257,,,,,,,,,,,,0,0.733333,0.788767,0.685588,0.788767,0.706928,0.735226,0.573750,0.565091,3.672299,0.876834,0.857937,75,,0.211233,0.409558,,,,0.409558,,,True,False,False,False,False,Possible overfitting,20.000000,18.500000,1.000000,30.000000,18.500000,18.200000,17,11.000000,2.000000,18.000000,9.700000,10,30.000000,1.000000,18.500000,18.400000,16
DT,fs2,fs2,AC,DT_fs2_AC_class.pkl,3,Ucs_class|PI|FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__class_weight"": ""balanced"", ""classifier__criterion"": ""gini"", ""classifier__max_depth"": null, ""classifier__min_samples_leaf"": 1, ""classifier__min_samples_split"": 10}",group,5,1,5,0.541127,0.111637,,,0.817121,0.836057,0.810650,0.836057,0.820610,0.816531,0.718399,0.716462,0.348338,0.954928,0.949873,257,,,,,,,,,,,,0,0.640000,0.682387,0.595013,0.682387,0.593220,0.655483,0.453227,0.436404,6.507695,0.830608,0.837658,75,,0.317613,0.279483,,,,0.279483,,,True,False,False,False,False,Possible overfitting,15.000000,18.500000,22.000000,27.000000,18.500000,18.800000,18,26.000000,19.000000,26.000000,23.900000,24,27.000000,22.000000,18.500000,25.000000,31
XGB,fs2,fs2,AC,XGB_fs2_AC_class.pkl,3,Ucs_class|PI|FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__colsample_bytree"": 1.0, ""classifier__learning_rate"": 0.3, ""classifier__max_depth"": 6, ""classifier__n_estimators"": 300, ""classifier__subsample"": 0.8}",group,5,1,5,0.522015,0.091927,,,0.926070,0.930698,0.934187,0.930698,0.932409,0.926170,0.883346,0.883324,0.149662,0.992051,0.990529,257,,,,,,,,,,,,0,0.773333,0.798077,0.720546,0.798077,0.739425,0.782403,0.639362,0.630756,0.862155,0.906101,0.903809,75,,0.201923,0.410393,,,,0.410393,,,True,False,False,False,False,Possible overfitting,19.000000,18.500000,8.000000,31.000000,18.500000,19.200000,19,8.000000,1.000000,10.000000,6.300000,5,31.000000,8.000000,18.500000,21.800000,25
GBC,fs4,fs4,AC,GBC_fs4_AC_class.pkl,2,Ucs_class|PI,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__learning_rate"": 0.01, ""classifier__max_depth"": 2, ""classifier__n_estimators"": 100}",group,5,1,5,0.444743,0.074355,,,0.618677,0.525521,0.703386,0.525521,0.525718,0.574920,0.383823,0.343704,0.851377,0.787089,0.781665,257,,,,,,,,,,,,0,0.666667,0.510836,0.616162,0.510836,0.518519,0.638222,0.392896,0.375832,0.841170,0.736374,0.749094,75,,0.489164,0.080975,,,,0.080975,,,False,False,False,False,False,Moderate generalization,29.000000,18.500000,2.000000,9.000000,18.500000,19.600000,20,31.500000,32.500000,30.500000,31.600000,31,9.000000,2.000000,18.500000,6.200000,2
RF,fs2,fs2,AC,RF_fs2_AC_class.pkl,3,Ucs_class|PI|FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__class_weight"": null, ""classifier__max_depth"": 20, ""classifier__min_samples_leaf"": 1, ""classifier__min_samples_split"": 5, ""classifier__n_estimators"": 100}",group,5,1,5,0.513293,0.093092,,,0.879377,0.875558,0.888036,0.875558,0.881295,0.879571,0.809169,0.808904,0.337751,0.977434,0.974547,257,,,,,,,,,,,,0,0.760000,0.779457,0.702963,0.779457,0.722981,0.765197,0.609234,0.603989,0.512406,0.914997,0.915235,75,,0.220543,0.368002,,,,0.368002,,,True,False,False,False,False,Possible overfitting,21.000000,18.500000,9.000000,28.000000,18.500000,20.000000,21,9.000000,4.000000,14.000000,8.500000,9,28.000000,9.000000,18.500000,20.400000,24
RF,fs3,fs3,AC,RF_fs3_AC_class.pkl,4,Ucs_class|LL|PL|FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__class_weight"": ""balanced"", ""classifier__max_depth"": null, ""classifier__min_samples_leaf"": 1, ""classifier__min_samples_split"": 5, ""classifier__n_estimators"": 100}",group,5,1,5,0.539179,0.111348,,,0.922179,0.935808,0.920330,0.935808,0.927125,0.922053,0.879561,0.878533,0.315471,0.987193,0.985254,257,,,,,,,,,,,,0,0.706667,0.645910,0.620024,0.645910,0.624445,0.720674,0.518248,0.514706,0.630318,0.844670,0.872540,75,,0.354090,0.387945,,,,0.387945,,,True,False,False,False,False,Possible overfitting,17.000000,18.500000,21.000000,29.000000,18.500000,20.200000,22,21.000000,23.000000,22.000000,21.800000,22,29.000000,21.000000,18.500000,25.800000,33
