model,feature_set,target,file,pipeline_contains_preprocessing,n_features,n_train,n_test,best_params,validation_split_used,r2_train,mae_train,mse_train,rmse_train,bias_train,ioa_train,ios_train,p20_train,ad_stat_train,r2_test,mae_test,mse_test,rmse_test,bias_test,ioa_test,ios_test,p20_test,ad_stat_test,cv_r2_mean,cv_r2_std,cv_r2_min,cv_r2_max,cv_mode,cv_folds,cv_repeats,train_cv_gap,cv_test_gap,abs_train_cv_gap,abs_cv_test_gap,possible_overfitting,possible_underfitting,high_cv_instability,holdout_sensitive,stable_generalization,generalization_diagnosis,rank_cv_r2,rank_cv_stability,rank_train_cv_gap,selection_rank_score,Selection Rank,rank_test_r2,rank_test_rmse,rank_test_mae,test_rank_score,Test Performance Rank
MLR,fs2,AC,MLR_fs2_AC.pkl,True,3,257,75,"{""fit_intercept"": true}",False,0.4376078263950416,0.22333328330340269,0.10990972299275857,0.33152635339103675,-9.676652043425489e-17,0.775895852697016,0.25007188770858935,50.19455252918288,11.501213047571127,0.24181371451654676,0.1914173809488049,0.06094950692885843,0.24687953930785442,0.11872511585305096,0.7824745848207553,0.12926106927308378,44.0,3.438772685805006,0.24804078273728547,0.41265861411430504,-0.24758529520507033,0.632068479170799,group,5,1,0.18956704365775612,0.006227068220738707,0.18956704365775612,0.006227068220738707,False,False,True,False,False,High CV instability,8.0,43.0,11.0,15.599999999999998,11,26.0,26.0,15.0,23.8,25
GBR,fs1,AC,GBR_fs1_AC.pkl,True,2,257,75,"{""subsample"": 0.75, ""n_estimators"": 100, ""min_samples_split"": 4, ""min_samples_leaf"": 8, ""max_depth"": 1, ""loss"": ""huber"", ""learning_rate"": 0.025}",False,0.4427054787496826,0.2092246102736866,0.10891347591730488,0.33002041742489946,-0.048162760301017904,0.7738006865741957,0.2534783852758733,56.42023346303502,18.465550001592305,0.40266400034954675,0.17136163992563436,0.048018983390522484,0.21913234218280625,0.0817587237609017,0.8057101677480495,0.22712484860072424,40.0,6.68993307851521,0.22821979767262088,0.3181445600219228,-0.12967584531267273,0.5211708977587667,group,5,1,0.2144856810770617,-0.17444420267692587,0.2144856810770617,0.17444420267692587,True,False,True,False,False,Overfitting with high CV instability,10.0,34.0,14.0,15.600000000000001,12,3.0,3.0,3.0,3.0,2
ANN,fs3,AC,ANN_fs3_AC.pkl,True,4,257,75,"{""solver"": ""adam"", ""max_iter"": 2000, ""learning_rate_init"": 0.001, ""hidden_layer_sizes"": [16], ""early_stopping"": true, ""batch_size"": 16, ""alpha"": 1.0, ""activation"": ""relu""}",False,0.4601600665961232,0.22001093589853268,0.10550228172721181,0.324811147787775,-0.042581783387106144,0.7781857684536281,0.26526199676083395,52.14007782101168,8.944322371792907,0.2784298065395201,0.18403759728550648,0.05800599186245377,0.24084433118189386,0.0899750612183566,0.7752960579974616,0.15054712110648538,46.666666666666664,4.366042822450822,0.19468033553256978,0.3491106825975635,-0.31735242871412783,0.45601644805996655,group,5,1,0.2654797310635534,-0.08374947100695032,0.2654797310635534,0.08374947100695032,True,False,True,False,False,Overfitting with high CV instability,11.0,35.0,22.0,18.0,13,17.0,17.0,9.0,15.4,15
GBR,fs3,AC,GBR_fs3_AC.pkl,True,4,257,75,"{""subsample"": 0.75, ""n_estimators"": 300, ""min_samples_split"": 8, ""min_samples_leaf"": 4, ""max_depth"": 1, ""loss"": ""huber"", ""learning_rate"": 0.01}",False,0.42598482003562,0.22850464401952922,0.11218123648327957,0.3349346749491303,-0.04160413846818474,0.7234403358709254,0.24236210498393096,47.081712062256805,12.184389060158765,0.23161041967420637,0.20584404069485251,0.06176973515191824,0.248535178902139,0.12790828271306626,0.7433708154614584,0.12342166332620697,34.66666666666667,3.2784604298899325,0.16464509983069736,0.23330291282030757,-0.19529134074796373,0.41438847302176274,group,5,1,0.26133972020492263,-0.06696531984350901,0.26133972020492263,0.06696531984350901,True,False,True,False,False,Overfitting with high CV instability,16.0,21.0,21.0,18.0,13,28.0,28.0,30.0,28.4,29
ET,fs3,AC,ET_fs3_AC.pkl,True,4,257,75,"{""n_estimators"": 200, ""min_samples_split"": 4, ""min_samples_leaf"": 2, ""max_features"": 0.5, ""max_depth"": 5, ""bootstrap"": false}",False,0.5828432289707215,0.21004364864699385,0.08152600142794264,0.28552758435559716,7.603083748405741e-17,0.8107544636651779,0.3541232539955641,46.30350194552529,9.96968621987736,0.2554876877167478,0.21190414614669442,0.05985027585561467,0.24464316024694963,0.13709366846077525,0.73200248724788,0.13714873107629244,28.000000000000004,4.511912196145715,0.1801578589340296,0.2143302598427535,-0.17331896692455873,0.33705895769882066,group,5,1,0.4026853700366919,-0.07532982878271818,0.4026853700366919,0.07532982878271818,True,False,True,False,False,Overfitting with high CV instability,14.0,15.0,39.0,19.200000000000003,15,21.0,21.0,34.0,23.6,24
ET,fs1,AC,ET_fs1_AC.pkl,True,2,257,75,"{""n_estimators"": 200, ""min_samples_split"": 4, ""min_samples_leaf"": 4, ""max_features"": 1.0, ""max_depth"": 3, ""bootstrap"": true}",False,0.41050826605519075,0.2411867372810048,0.11520585851876741,0.33941988527304556,-0.0015931993935251615,0.7075734282122779,0.23221634951973003,38.91050583657588,17.73816320591436,0.27603206704953986,0.2031791075723437,0.058198742697513996,0.24124415577898253,0.13181674454129716,0.7225266398920811,0.14913694818116574,37.333333333333336,5.55620458037636,0.14162736022662914,0.18284846256299564,-0.12308889803108158,0.3279083193040703,group,5,1,0.2688809058285616,-0.13440470682291072,0.2688809058285616,0.13440470682291072,True,False,False,False,False,Possible overfitting,21.0,9.0,24.0,19.200000000000003,15,18.0,18.0,27.0,19.799999999999997,19
SVR,fs4,AC,SVR_fs4_AC.pkl,True,2,257,75,"{""kernel"": ""rbf"", ""gamma"": ""scale"", ""epsilon"": 0.2, ""C"": 0.1}",False,0.21852950283572992,0.2648127690269306,0.1527247531198236,0.390800144728509,-0.0518199105899537,0.5782957984437973,0.11599180028448264,40.856031128404666,19.292667550412943,0.1858566490005502,0.20361478408382738,0.06544781508568706,0.2558277058601884,0.08502041927532361,0.6530020102501728,0.09770107447728282,38.666666666666664,5.4432065178414035,0.09598263950923624,0.16640840367392884,-0.11987169708707768,0.3014442382326187,group,5,1,0.12254686332649367,-0.08987400949131397,0.12254686332649367,0.08987400949131397,False,True,False,False,False,Possible underfitting,30.0,5.0,2.0,19.4,17,34.0,34.0,28.0,32.8,34
XGB,fs1,AC,XGB_fs1_AC.pkl,True,2,257,75,"{""subsample"": 1.0, ""reg_lambda"": 1.0, ""reg_alpha"": 1.0, ""n_estimators"": 400, ""min_child_weight"": 1, ""max_depth"": 2, ""learning_rate"": 0.01, ""gamma"": 0.25, ""colsample_bytree"": 1.0}",False,0.46349581486002134,0.22519157847494164,0.10485036801847632,0.3238060654442352,-0.0022132780285100675,0.7622654163228199,0.2675355400157775,45.13618677042802,15.625039629451464,0.30924338132169704,0.2025389848548645,0.05552893282610936,0.23564577829044456,0.13223771391767458,0.7694555340141886,0.16888230756510603,29.333333333333332,5.715017738417004,0.1693025106388234,0.2467333974648602,-0.09631413008649337,0.4381288130485598,group,5,1,0.29419330422119794,-0.13994087068287364,0.29419330422119794,0.13994087068287364,True,False,True,False,False,Overfitting with high CV instability,15.0,24.0,32.0,20.200000000000003,18,13.0,13.0,26.0,15.600000000000001,16
XGB,fs2,AC,XGB_fs2_AC.pkl,True,3,257,75,"{""subsample"": 1.0, ""reg_lambda"": 10.0, ""reg_alpha"": 0.0, ""n_estimators"": 600, ""min_child_weight"": 1, ""max_depth"": 2, ""learning_rate"": 0.05, ""gamma"": 0.1, ""colsample_bytree"": 0.6}",False,0.5444082688343892,0.20528719066892975,0.08903744276743278,0.2983914254254515,-6.026314757821714e-07,0.8171250084627285,0.3250246440309018,57.97665369649806,8.671387661911695,0.26961382688497615,0.19926612371087035,0.05871469580939562,0.2423111549421438,0.12775964397647177,0.8023254909001436,0.14537366462586465,42.66666666666667,2.4081098061987944,0.163619361677096,0.2203277650205892,-0.16169454969573493,0.39060536276972435,group,5,1,0.3807889071572932,-0.10599446520788014,0.3807889071572932,0.10599446520788014,True,False,True,False,False,Overfitting with high CV instability,17.0,17.0,37.0,21.0,19,19.0,19.0,24.0,20.0,20
RIDGE,fs1,AC,RIDGE_fs1_AC.pkl,True,2,257,75,"{""alpha"": 100.0, ""solver"": ""auto""}",False,0.3431817381811646,0.25747702905633396,0.1283636519163269,0.358278734948541,6.566299600895868e-17,0.6543089727049686,0.18955674978513426,38.52140077821012,18.044569939806365,0.21892316839520864,0.20681337562273222,0.06278964506659622,0.25057862052975755,0.12268276238945627,0.6815711801097933,0.11621448778292842,36.0,5.018114196201324,0.1167459344689588,0.2102834918805644,-0.13373828910076058,0.3585242403725819,group,5,1,0.22643580371220579,-0.10217723392624985,0.22643580371220579,0.10217723392624985,True,True,True,False,False,Possible underfitting,26.0,12.0,16.0,21.2,20,33.0,33.0,31.0,32.6,33
