model,feature_set,target,file,pipeline_contains_preprocessing,n_features,n_train,n_test,best_params,validation_split_used,r2_train,mae_train,mse_train,rmse_train,bias_train,ioa_train,ios_train,p20_train,ad_stat_train,r2_test,mae_test,mse_test,rmse_test,bias_test,ioa_test,ios_test,p20_test,ad_stat_test,cv_r2_mean,cv_r2_std,cv_r2_min,cv_r2_max,cv_mode,cv_folds,cv_repeats,train_cv_gap,cv_test_gap,abs_train_cv_gap,abs_cv_test_gap,possible_overfitting,possible_underfitting,high_cv_instability,holdout_sensitive,stable_generalization,generalization_diagnosis,rank_cv_r2,rank_cv_stability,rank_train_cv_gap,selection_rank_score,Selection Rank,rank_test_r2,rank_test_rmse,rank_test_mae,test_rank_score,Test Performance Rank,fs,test_shift,statistical_rank,selection_rank,statistical_score,statistical_score_ci_lower,statistical_score_ci_upper,statistical_score_ci_width,rank_stability,test_performance_rank,generalization_rank_score,generalization_rank,equal_score,equal_rank,performance_focused_score,performance_focused_rank,stability_focused_score,stability_focused_rank,sensitivity_mean_rank,sensitivity_median_rank,sensitivity_min_rank,sensitivity_max_rank,sensitivity_rank_range,sensitivity_rank_sd,first_place_count,first_place_rate,weight_sensitivity_diagnosis,mc_mean_rank,mc_median_rank,mc_min_rank,mc_max_rank,mc_rank_range,mc_rank_sd,mc_first_place_count,mc_first_place_rate,mc_top3_count,mc_top3_rate,mc_weight_sensitivity_diagnosis,robustness_rank_score,robustness_rank,recommended_rank_score,recommended_rank
ANN,fs1,AC,ANN_fs1_AC.pkl,True,2,257,75,"{""solver"": ""adam"", ""max_iter"": 2000, ""learning_rate_init"": 0.003, ""hidden_layer_sizes"": [16], ""early_stopping"": true, ""batch_size"": 16, ""alpha"": 1.0, ""activation"": ""relu""}",False,0.352495,0.238465,0.126543,0.355729,-0.037775,0.686373,0.195323,46.692607,17.779822,0.305454,0.180528,0.055834,0.236291,0.088683,0.720379,0.166605,46.666667,4.817656,0.128617,0.298669,-0.212656,0.439601,group,5,1,0.223879,-0.176837,0.223879,0.176837,True,True,True,False,False,Possible underfitting,24.000000,30.000000,15.000000,23.400000,23,15.000000,15.000000,7.000000,13.400000,13,fs1,False,23,23,0.547872,,,,0.788632,13,21.000000,21,23.000000,24,23.550000,25,23.100000,24,24.333333,24.000000,24.000000,25.000000,1.000000,0.577350,0,0.000000,Weight-sensitive,23.265000,24.000000,16,31,15,3.352912,0,0.000000,0,0.000000,Unstable selection,25.600000,23,23.300000,23
RF,fs2,AC,RF_fs2_AC.pkl,True,3,257,75,"{""n_estimators"": 400, ""min_samples_split"": 12, ""min_samples_leaf"": 2, ""max_features"": 0.5, ""max_depth"": 3}",False,0.524173,0.215501,0.092992,0.304946,-0.000902,0.785209,0.310198,49.416342,10.871614,0.406491,0.190020,0.047711,0.218429,0.129235,0.816989,0.229605,34.666667,3.165432,0.133119,0.200311,-0.117689,0.354519,group,5,1,0.391054,-0.273372,0.391054,0.273372,True,False,True,True,False,Overfitting with high CV instability,23.000000,11.000000,38.000000,23.600000,25,2.000000,2.000000,12.000000,4.000000,3,fs2,True,25,25,0.542553,,,,0.684827,3,27.200000,30,24.000000,28,23.450000,24,23.900000,26,26.000000,26.000000,24.000000,28.000000,4.000000,2.000000,0,0.000000,Unstable selection,23.708000,25.000000,12,32,20,4.174945,0,0.000000,0,0.000000,Unstable selection,27.275000,26,25.400000,25
GBR,fs4,AC,GBR_fs4_AC.pkl,True,2,257,75,"{""subsample"": 0.6, ""n_estimators"": 100, ""min_samples_split"": 4, ""min_samples_leaf"": 2, ""max_depth"": 2, ""loss"": ""huber"", ""learning_rate"": 0.01}",False,0.193272,0.268633,0.157661,0.397065,-0.082881,0.526208,0.101819,38.910506,17.247220,0.264138,0.190638,0.059155,0.243218,0.052358,0.607959,0.142176,41.333333,4.772983,0.034623,0.169602,-0.111123,0.300583,group,5,1,0.158649,-0.229515,0.158649,0.229515,False,True,False,True,False,Possible underfitting,36.000000,6.000000,5.000000,23.800000,26,20.000000,20.000000,14.000000,18.800000,18,fs4,True,26,26,0.537234,,,,0.521348,18,5.400000,2,15.666667,8,26.850000,27,17.700000,12,15.666667,12.000000,8.000000,27.000000,19.000000,10.016653,0,0.000000,Unstable selection,24.386000,25.000000,16,30,14,3.147525,0,0.000000,0,0.000000,Unstable selection,26.075000,25,25.600000,26
DT,fs1,AC,DT_fs1_AC.pkl,True,2,257,75,"{""splitter"": ""random"", ""min_samples_split"": 20, ""min_samples_leaf"": 2, ""max_features"": null, ""max_depth"": 8, ""criterion"": ""squared_error"", ""ccp_alpha"": 0.005}",False,0.422929,0.230862,0.112778,0.335825,-0.000000,0.766882,0.240348,45.525292,16.393849,0.129434,0.221557,0.069984,0.264544,0.140492,0.745939,0.066959,26.666667,3.635241,0.146963,0.448499,-0.447958,0.594455,group,5,1,0.275966,0.017529,0.275966,0.017529,True,False,True,False,False,Overfitting with high CV instability,19.000000,45.000000,28.000000,26.000000,27,37.000000,37.000000,38.000000,37.200000,37,fs1,False,27,27,0.478723,,,,0.739895,37,34.800000,39,30.666667,36,24.250000,26,29.500000,34,32.000000,34.000000,26.000000,36.000000,10.000000,5.291503,0,0.000000,Unstable selection,26.850000,26.000000,18,37,19,3.797093,0,0.000000,0,0.000000,Unstable selection,27.350000,27,27.000000,27
ANN,fs4,AC,ANN_fs4_AC.pkl,True,2,257,75,"{""solver"": ""adam"", ""max_iter"": 2000, ""learning_rate_init"": 0.0005, ""hidden_layer_sizes"": [32, 16], ""early_stopping"": true, ""batch_size"": 16, ""alpha"": 0.001, ""activation"": ""relu""}",False,0.194180,0.289086,0.157483,0.396842,-0.011719,0.565463,0.102325,34.630350,15.717281,0.092457,0.223634,0.072956,0.270104,0.128739,0.631720,0.047349,32.000000,4.537783,0.026112,0.220790,-0.210223,0.356749,group,5,1,0.168068,-0.066345,0.168068,0.066345,False,True,True,False,False,Possible underfitting,38.000000,18.000000,6.000000,27.600000,28,38.000000,38.000000,39.000000,38.200000,38,fs4,False,28,28,0.436170,,,,0.610248,38,10.800000,3,20.666667,17,30.200000,30,22.400000,21,22.666667,21.000000,17.000000,30.000000,13.000000,6.658328,0,0.000000,Unstable selection,29.570000,30.000000,22,37,15,3.295142,0,0.000000,0,0.000000,Unstable selection,27.525000,28,28.000000,28
RF,fs3,AC,RF_fs3_AC.pkl,True,4,257,75,"{""n_estimators"": 400, ""min_samples_split"": 8, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""max_depth"": 10}",False,0.769915,0.145939,0.044966,0.212052,-0.001541,0.921228,0.520328,73.540856,7.824953,0.278431,0.179728,0.058006,0.240844,0.100858,0.784589,0.150548,48.000000,2.669569,0.112921,0.231231,-0.235269,0.348387,group,5,1,0.656994,-0.165510,0.656994,0.165510,True,False,True,False,False,Overfitting with high CV instability,27.000000,20.000000,47.000000,29.600000,29,16.000000,16.000000,6.000000,14.000000,14,fs3,False,29,29,0.382979,,,,0.732532,14,36.200000,40,31.333333,37,28.950000,28,30.900000,37,34.000000,37.000000,28.000000,37.000000,9.000000,5.196152,0,0.000000,Unstable selection,30.779000,30.000000,23,39,16,3.784770,0,0.000000,0,0.000000,Unstable selection,27.925000,30,29.400000,29
XGB,fs4,AC,XGB_fs4_AC.pkl,True,2,257,75,"{""subsample"": 0.6, ""reg_lambda"": 20.0, ""reg_alpha"": 1.0, ""n_estimators"": 600, ""min_child_weight"": 1, ""max_depth"": 2, ""learning_rate"": 0.01, ""gamma"": 0.0, ""colsample_bytree"": 0.6}",False,0.246696,0.280961,0.147220,0.383693,-0.010449,0.560683,0.132069,33.463035,13.039822,0.046792,0.232357,0.076627,0.276816,0.134345,0.628971,0.023676,29.333333,3.677263,-0.042324,0.155931,-0.215351,0.207902,group,5,1,0.289020,-0.089116,0.289020,0.089116,True,True,False,False,False,Possible underfitting,39.000000,1.000000,31.000000,29.800000,30,39.000000,39.000000,43.000000,39.800000,39,fs4,False,30,30,0.377660,,,,0.591315,39,19.000000,16,23.666667,25,32.100000,34,25.200000,29,29.333333,29.000000,25.000000,34.000000,9.000000,4.509250,0,0.000000,Unstable selection,32.053000,32.000000,17,41,24,4.596011,0,0.000000,0,0.000000,Unstable selection,30.375000,33,31.200000,31
ET,fs4,AC,ET_fs4_AC.pkl,True,2,257,75,"{""n_estimators"": 600, ""min_samples_split"": 20, ""min_samples_leaf"": 2, ""max_features"": 0.5, ""max_depth"": 3, ""bootstrap"": false}",False,0.193748,0.297729,0.157568,0.396948,0.000000,0.444976,0.102084,31.906615,18.150079,-0.008234,0.241122,0.081050,0.284694,0.142271,0.556236,-0.004109,34.666667,3.384611,-0.043085,0.189632,-0.315944,0.206744,group,5,1,0.236833,-0.034851,0.236833,0.034851,True,True,False,False,False,Possible underfitting,40.000000,10.000000,19.000000,29.800000,31,40.000000,40.000000,47.000000,41.400000,42,fs4,False,31,31,0.377660,,,,0.646616,42,15.400000,9,23.000000,22,32.350000,35,24.700000,27,28.000000,27.000000,22.000000,35.000000,13.000000,6.557439,0,0.000000,Unstable selection,32.519000,32.000000,28,40,12,2.516739,0,0.000000,0,0.000000,Unstable selection,27.875000,29,30.200000,30
DT,fs4,AC,DT_fs4_AC.pkl,True,2,257,75,"{""splitter"": ""random"", ""min_samples_split"": 4, ""min_samples_leaf"": 2, ""max_features"": null, ""max_depth"": 4, ""criterion"": ""absolute_error"", ""ccp_alpha"": 0.001}",False,-0.034268,0.286287,0.202130,0.449588,-0.157132,0.457386,-0.016990,48.638132,14.976788,-0.044400,0.207171,0.083958,0.289755,-0.012571,0.482607,-0.021959,56.000000,2.104527,-0.108818,0.252412,-0.335243,0.286953,group,5,1,0.074550,-0.064418,0.074550,0.064418,False,True,True,False,False,Possible underfitting,42.000000,26.000000,1.000000,30.600000,32,42.000000,42.000000,32.000000,40.000000,40,fs4,False,32,32,0.356383,,,,0.576845,40,11.000000,4,23.000000,22,33.450000,37,24.900000,28,29.000000,28.000000,22.000000,37.000000,15.000000,7.549834,0,0.000000,Unstable selection,34.588000,35.000000,21,44,23,5.780975,0,0.000000,0,0.000000,Unstable selection,32.575000,40,35.200000,35
LASSO,fs3,AC,LASSO_fs3_AC.pkl,True,4,257,75,"{""alpha"": 0.01, ""max_iter"": 10000, ""selection"": ""random""}",False,0.434456,0.228838,0.110526,0.332454,0.000000,0.762561,0.247973,47.859922,11.057706,0.229891,0.197826,0.061908,0.248813,0.126429,0.769949,0.122442,42.666667,3.543947,0.119052,0.523596,-0.579740,0.579913,group,5,1,0.315404,-0.110839,0.315404,0.110839,True,False,True,False,False,Overfitting with high CV instability,25.000000,47.000000,33.000000,31.000000,33,29.000000,29.000000,23.000000,27.800000,28,fs3,False,33,33,0.345745,,,,0.793793,28,38.600000,44,35.000000,41,29.500000,29,34.000000,41,37.000000,41.000000,29.000000,41.000000,12.000000,6.928203,0,0.000000,Unstable selection,32.787000,32.000000,26,42,16,4.117595,0,0.000000,0,0.000000,Unstable selection,29.875000,32,33.200000,33
LASSO,fs1,AC,LASSO_fs1_AC.pkl,True,2,257,75,"{""alpha"": 0.01, ""max_iter"": 10000, ""selection"": ""cyclic""}",False,0.382610,0.235701,0.120658,0.347359,0.000000,0.731441,0.214258,43.190661,18.027106,0.307397,0.188288,0.055677,0.235961,0.105858,0.754180,0.167772,40.000000,7.026913,0.107941,0.416739,-0.420550,0.552394,group,5,1,0.274669,-0.199455,0.274669,0.199455,True,True,True,False,False,Possible underfitting,28.000000,44.000000,27.000000,31.000000,33,14.000000,14.000000,11.000000,13.400000,12,fs1,False,33,33,0.345745,,,,0.809044,12,33.800000,37,33.000000,39,30.250000,31,32.500000,38,36.000000,38.000000,31.000000,39.000000,8.000000,4.358899,0,0.000000,Unstable selection,33.122000,32.000000,27,42,15,4.024091,0,0.000000,0,0.000000,Unstable selection,29.675000,31,32.800000,32
KNN,fs3,AC,KNN_fs3_AC.pkl,True,4,257,75,"{""n_neighbors"": 9, ""p"": 1, ""weights"": ""uniform""}",False,0.674384,0.167778,0.063636,0.252262,-0.029618,0.889846,0.429372,68.871595,7.766650,0.177881,0.169607,0.066089,0.257078,0.053964,0.746064,0.093292,57.333333,3.644888,0.070904,0.211787,-0.197133,0.330767,group,5,1,0.603480,-0.106977,0.603480,0.106977,True,False,True,False,False,Overfitting with high CV instability,32.000000,13.000000,46.000000,31.000000,33,35.000000,35.000000,2.000000,28.400000,29,fs3,False,33,33,0.345745,,,,0.691642,29,32.800000,36,30.333333,35,31.250000,32,30.500000,36,34.333333,35.000000,32.000000,36.000000,4.000000,2.081666,0,0.000000,Unstable selection,33.587000,33.000000,24,43,19,4.643274,0,0.000000,0,0.000000,Unstable selection,31.600000,36,34.800000,34
DT,fs2,AC,DT_fs2_AC.pkl,True,3,257,75,"{""splitter"": ""best"", ""min_samples_split"": 12, ""min_samples_leaf"": 2, ""max_features"": null, ""max_depth"": 3, ""criterion"": ""squared_error"", ""ccp_alpha"": 0.005}",False,0.485978,0.220970,0.100457,0.316949,0.000000,0.798326,0.283047,52.140078,7.113090,-0.091654,0.225021,0.087757,0.296237,0.154536,0.761462,-0.044823,42.666667,3.015688,0.031687,0.165946,-0.209016,0.212244,group,5,1,0.454292,0.123341,0.454292,0.123341,True,False,False,False,False,Possible overfitting,37.000000,4.000000,43.000000,31.600000,36,46.000000,46.000000,41.000000,45.000000,45,fs2,False,36,36,0.329787,,,,0.620204,45,27.400000,31,28.000000,34,32.950000,36,28.900000,33,34.333333,34.000000,33.000000,36.000000,3.000000,1.527525,0,0.000000,Unstable selection,35.396000,36.000000,20,44,24,5.856918,0,0.000000,0,0.000000,Unstable selection,33.350000,42,38.600000,38
MLR,fs1,AC,MLR_fs1_AC.pkl,True,2,257,75,"{""fit_intercept"": true}",False,0.384832,0.233685,0.120224,0.346733,0.000000,0.740835,0.215674,45.525292,17.419518,0.333947,0.182861,0.053543,0.231394,0.098928,0.767882,0.183879,41.333333,7.229875,0.097458,0.461608,-0.501000,0.592255,group,5,1,0.287374,-0.236489,0.287374,0.236489,True,True,True,True,False,Possible underfitting,29.000000,46.000000,30.000000,32.600000,37,10.000000,10.000000,8.000000,9.600000,8,fs1,True,37,37,0.303191,,,,0.817970,8,36.400000,41,35.000000,41,31.700000,33,34.400000,42,38.666667,41.000000,33.000000,42.000000,9.000000,4.932883,0,0.000000,Unstable selection,36.029000,35.000000,29,43,14,4.089852,0,0.000000,0,0.000000,Unstable selection,31.575000,35,36.500000,37
RIDGE,fs4,AC,RIDGE_fs4_AC.pkl,True,2,257,75,"{""alpha"": 100.0, ""solver"": ""auto""}",False,0.131899,0.309767,0.169655,0.411892,0.000000,0.415259,0.068281,31.517510,18.349182,-0.108663,0.247678,0.089124,0.298536,0.137424,0.503832,-0.052931,37.333333,2.771789,-0.128291,0.213942,-0.475005,0.082889,group,5,1,0.260190,-0.019628,0.260190,0.019628,True,True,True,False,False,Possible underfitting,43.000000,14.000000,20.000000,32.600000,37,47.000000,47.000000,48.000000,47.200000,48,fs4,False,37,37,0.303191,,,,0.672509,48,17.600000,12,25.666667,30,35.200000,41,27.400000,31,34.000000,31.000000,30.000000,41.000000,11.000000,6.082763,0,0.000000,Unstable selection,37.406000,37.000000,32,43,11,2.951928,0,0.000000,0,0.000000,Unstable selection,31.300000,34,36.100000,36
EN,fs4,AC,EN_fs4_AC.pkl,True,2,257,75,"{""selection"": ""random"", ""max_iter"": 10000, ""l1_ratio"": 0.1, ""alpha"": 0.1}",False,0.141961,0.305690,0.167689,0.409498,0.000000,0.449454,0.073696,33.073930,19.029976,-0.071832,0.241002,0.086163,0.293535,0.129800,0.525405,-0.035293,38.666667,3.118392,-0.131358,0.178921,-0.416509,0.008899,group,5,1,0.273319,-0.059526,0.273319,0.059526,True,True,False,False,False,Possible underfitting,44.000000,7.000000,26.000000,33.000000,39,44.000000,44.000000,46.000000,44.400000,44,fs4,False,39,39,0.292553,,,,0.629491,44,18.400000,14,25.666667,30,35.750000,43,27.500000,32,35.000000,32.000000,30.000000,43.000000,13.000000,7.000000,0,0.000000,Unstable selection,38.209000,38.000000,29,43,14,3.571845,0,0.000000,0,0.000000,Unstable selection,32.550000,39,39.000000,40
KNN,fs1,AC,KNN_fs1_AC.pkl,True,2,257,75,"{""n_neighbors"": 15, ""p"": 2, ""weights"": ""uniform""}",False,0.460810,0.220094,0.105375,0.324616,-0.014117,0.770676,0.265704,54.474708,12.050304,0.342911,0.191657,0.052822,0.229831,0.117013,0.799309,0.189390,38.666667,3.982605,0.047128,0.247470,-0.198503,0.392467,group,5,1,0.413682,-0.295783,0.413682,0.295783,True,False,True,True,False,Overfitting with high CV instability,35.000000,25.000000,40.000000,34.000000,40,6.000000,6.000000,16.000000,8.000000,6,fs1,True,40,40,0.265957,,,,0.842401,6,34.000000,38,33.333333,40,34.250000,39,33.500000,39,39.333333,39.000000,39.000000,40.000000,1.000000,0.577350,0,0.000000,Weight-sensitive,38.933000,40.000000,34,43,9,2.164994,0,0.000000,0,0.000000,Unstable selection,31.625000,37,38.800000,39
LASSO,fs4,AC,LASSO_fs4_AC.pkl,True,2,257,75,"{""alpha"": 0.01, ""max_iter"": 10000, ""selection"": ""random""}",False,0.144157,0.303404,0.167260,0.408974,0.000000,0.471309,0.074882,33.463035,19.221072,-0.073727,0.240399,0.086315,0.293795,0.128580,0.537644,-0.036208,34.666667,3.196819,-0.142116,0.181487,-0.427993,0.018585,group,5,1,0.286274,-0.068389,0.286274,0.068389,True,True,False,False,False,Possible underfitting,46.000000,8.000000,29.000000,35.000000,41,45.000000,45.000000,45.000000,45.000000,45,fs4,False,41,41,0.239362,,,,0.640303,45,20.600000,19,27.666667,33,37.750000,44,29.500000,34,37.000000,34.000000,33.000000,44.000000,11.000000,6.082763,0,0.000000,Unstable selection,41.388000,43.000000,32,45,13,3.125256,0,0.000000,0,0.000000,Unstable selection,34.075000,48,43.800000,43
MLR,fs3,AC,MLR_fs3_AC.pkl,True,4,257,75,"{""fit_intercept"": true}",False,0.437703,0.223205,0.109891,0.331498,0.000000,0.776147,0.250135,49.805447,11.628815,0.250930,0.190362,0.060217,0.245391,0.117142,0.783385,0.134512,44.000000,3.405246,0.078307,0.642061,-0.811747,0.612891,group,5,1,0.359396,-0.172623,0.359396,0.172623,True,False,True,False,False,Overfitting with high CV instability,31.000000,48.000000,35.000000,35.200000,42,22.000000,22.000000,13.000000,20.200000,21,fs3,False,42,42,0.234043,,,,0.839646,21,40.200000,47,38.000000,45,34.150000,38,37.300000,45,42.666667,45.000000,38.000000,45.000000,7.000000,4.041452,0,0.000000,Unstable selection,39.800000,40.000000,33,46,13,4.003252,0,0.000000,0,0.000000,Unstable selection,33.625000,45,43.500000,42
RF,fs1,AC,RF_fs1_AC.pkl,True,2,257,75,"{""n_estimators"": 600, ""min_samples_split"": 8, ""min_samples_leaf"": 6, ""max_features"": ""sqrt"", ""max_depth"": 3}",False,0.485392,0.217726,0.100571,0.317130,-0.000703,0.792097,0.282638,51.361868,13.685787,0.340837,0.196139,0.052989,0.230194,0.123768,0.793511,0.188112,36.000000,4.307769,0.068526,0.367120,-0.317927,0.530989,group,5,1,0.416865,-0.272311,0.416865,0.272311,True,False,True,True,False,Overfitting with high CV instability,33.000000,36.000000,41.000000,35.200000,42,7.000000,7.000000,22.000000,10.000000,9,fs1,True,42,42,0.234043,,,,0.917435,9,39.000000,45,36.666667,43,34.650000,40,36.300000,43,42.000000,43.000000,40.000000,43.000000,3.000000,1.732051,0,0.000000,Unstable selection,40.551000,40.500000,35,44,9,2.038027,0,0.000000,0,0.000000,Unstable selection,32.200000,38,40.700000,41
DT,fs3,AC,DT_fs3_AC.pkl,True,4,257,75,"{""splitter"": ""best"", ""min_samples_split"": 4, ""min_samples_leaf"": 6, ""max_features"": ""log2"", ""max_depth"": 4, ""criterion"": ""absolute_error"", ""ccp_alpha"": 0.001}",False,0.423138,0.204190,0.112738,0.335764,-0.056836,0.809250,0.240486,61.089494,11.834808,-0.307054,0.223709,0.105072,0.324148,0.054788,0.582094,-0.143265,49.333333,3.100595,0.050666,0.405785,-0.648407,0.403994,group,5,1,0.372472,0.357720,0.372472,0.357720,True,False,True,True,False,Overfitting with high CV instability,34.000000,41.000000,36.000000,35.800000,44,48.000000,48.000000,40.000000,46.400000,47,fs3,True,44,44,0.218085,,,,0.926299,47,38.000000,42,37.000000,44,35.350000,42,36.700000,44,43.333333,44.000000,42.000000,44.000000,2.000000,1.154701,0,0.000000,Weight-sensitive,41.550000,43.000000,35,45,10,2.665071,0,0.000000,0,0.000000,Unstable selection,33.575000,44,44.000000,44
MLR,fs4,AC,MLR_fs4_AC.pkl,True,2,257,75,"{""fit_intercept"": true}",False,0.145529,0.301553,0.166991,0.408646,-0.000000,0.485894,0.075624,31.906615,19.393820,-0.050081,0.236077,0.084415,0.290542,0.122820,0.547903,-0.024735,36.000000,3.463947,-0.171150,0.217146,-0.515506,0.009460,group,5,1,0.316679,-0.121069,0.316679,0.121069,True,True,True,False,False,Possible underfitting,47.000000,16.000000,34.000000,38.200000,45,43.000000,43.000000,44.000000,43.200000,43,fs4,False,45,45,0.154255,,,,0.717820,43,26.800000,27,32.333333,38,40.400000,45,33.800000,40,41.000000,40.000000,38.000000,45.000000,7.000000,3.605551,0,0.000000,Unstable selection,44.365000,45.000000,38,46,8,1.738620,0,0.000000,0,0.000000,Unstable selection,33.350000,42,44.000000,44
RF,fs4,AC,RF_fs4_AC.pkl,True,2,257,75,"{""n_estimators"": 200, ""min_samples_split"": 20, ""min_samples_leaf"": 6, ""max_features"": 0.5, ""max_depth"": 3}",False,0.300027,0.268677,0.136798,0.369862,-0.001279,0.641561,0.163356,37.743191,13.135801,0.129685,0.217015,0.069963,0.264506,0.114990,0.684473,0.067093,33.333333,4.067132,-0.140625,0.315612,-0.697173,0.071336,group,5,1,0.440651,-0.270310,0.440651,0.270310,True,True,True,True,False,Possible underfitting,45.000000,33.000000,42.000000,42.000000,46,36.000000,36.000000,37.000000,36.200000,36,fs4,True,46,46,0.053191,,,,0.886937,36,38.400000,43,40.000000,46,42.750000,47,40.500000,46,46.333333,46.000000,46.000000,47.000000,1.000000,0.577350,0,0.000000,Weight-sensitive,46.367000,46.000000,45,47,2,0.486362,0,0.000000,0,0.000000,Weight-sensitive,33.100000,41,44.000000,44
KNN,fs2,AC,KNN_fs2_AC.pkl,True,3,257,75,"{""n_neighbors"": 5, ""p"": 1, ""weights"": ""uniform""}",False,0.678300,0.169347,0.062871,0.250740,0.004889,0.898384,0.432814,67.704280,5.078364,0.514573,0.146215,0.039023,0.197542,0.096975,0.892094,0.303274,65.333333,0.729707,-0.087031,0.411890,-0.725152,0.376514,group,5,1,0.765331,-0.601604,0.765331,0.601604,True,False,True,True,False,Overfitting with high CV instability,41.000000,42.000000,48.000000,42.600000,47,1.000000,1.000000,1.000000,1.000000,1,fs2,True,47,47,0.037234,,,,0.933889,1,45.600000,48,43.666667,48,42.200000,46,43.400000,48,47.333333,48.000000,46.000000,48.000000,2.000000,1.154701,0,0.000000,Weight-sensitive,46.691000,47.000000,44,48,4,0.786217,0,0.000000,0,0.000000,Weight-sensitive,33.750000,46,46.600000,47
KNN,fs4,AC,KNN_fs4_AC.pkl,True,2,257,75,"{""n_neighbors"": 15, ""p"": 1, ""weights"": ""uniform""}",False,0.288290,0.271979,0.139091,0.372950,-0.002474,0.659037,0.156371,40.856031,7.844706,-0.029225,0.228946,0.082738,0.287642,0.122493,0.674598,-0.014507,36.000000,2.580908,-0.191108,0.305011,-0.729960,-0.013040,group,5,1,0.479397,-0.161883,0.479397,0.161883,True,True,True,False,False,Possible underfitting,48.000000,31.000000,45.000000,44.000000,48,41.000000,41.000000,42.000000,41.200000,41,fs4,False,48,48,0.000000,,,,0.848002,41,39.400000,46,41.333333,47,45.000000,48,42.000000,47,47.333333,47.000000,47.000000,48.000000,1.000000,0.577350,0,0.000000,Weight-sensitive,47.870000,48.000000,47,48,1,0.336472,0,0.000000,0,0.000000,Weight-sensitive,33.800000,47,47.600000,48
