task,target,feature_set,model,rank,feature,mean_importance,relative_contribution_percent,source_file
regression,AC,fs2,XGB,4,Distance,0.0723741285712838,4.877197597179517,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs2\XGB_permutation_sensitivity.csv
regression,AC,fs2,XGB,5,Ucs_class,0.0030775443021327,0.2073916739569667,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs2\XGB_permutation_sensitivity.csv
regression,AC,fs3,ANN,1,LL,0.4137001415203288,27.397673798771745,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\ANN_permutation_sensitivity.csv
regression,AC,fs3,ANN,2,FF,0.3759458905583834,24.897363674218603,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\ANN_permutation_sensitivity.csv
regression,AC,fs3,ANN,3,PL,0.2391348631243445,15.83692707891611,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\ANN_permutation_sensitivity.csv
regression,AC,fs3,ANN,4,Depth,0.2105647280759767,13.94484350948476,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\ANN_permutation_sensitivity.csv
regression,AC,fs3,ANN,5,Distance,0.1635919720688801,10.83402937782344,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\ANN_permutation_sensitivity.csv
regression,AC,fs3,DT,1,Depth,0.8726853592555159,51.49213608468601,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\DT_permutation_sensitivity.csv
regression,AC,fs3,DT,2,FF,0.6364941734683079,37.5558547530803,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\DT_permutation_sensitivity.csv
regression,AC,fs3,DT,3,LL,0.1204779865177612,7.10871199016545,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\DT_permutation_sensitivity.csv
regression,AC,fs3,DT,4,Distance,0.0651359494548056,3.843297172068242,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\DT_permutation_sensitivity.csv
regression,AC,fs3,DT,5,Ucs_class,0.0,0.0,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\DT_permutation_sensitivity.csv
regression,AC,fs3,EN,1,FF,0.4690285019644372,75.73407849081062,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\EN_permutation_sensitivity.csv
regression,AC,fs3,EN,2,LL,0.1193102893919779,19.26504420035972,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\EN_permutation_sensitivity.csv
regression,AC,fs3,EN,3,Depth,0.0309709187648322,5.000877308829662,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\EN_permutation_sensitivity.csv
regression,AC,fs3,EN,4,Distance,0.0,0.0,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\EN_permutation_sensitivity.csv
regression,AC,fs3,EN,5,Ucs_class,0.0,0.0,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\EN_permutation_sensitivity.csv
regression,AC,fs3,ET,1,FF,0.3401920330768639,33.71696157096041,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\ET_permutation_sensitivity.csv
regression,AC,fs3,ET,2,Distance,0.2372855311995227,23.51773809762197,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\ET_permutation_sensitivity.csv
regression,AC,fs3,ET,3,Depth,0.1452536991575977,14.39632006734858,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\ET_permutation_sensitivity.csv
regression,AC,fs3,ET,4,Ucs_class,0.1334205177028352,13.223515046714002,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\ET_permutation_sensitivity.csv
regression,AC,fs3,ET,5,PL,0.0773019594633073,7.661517446516384,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\ET_permutation_sensitivity.csv
regression,AC,fs3,GBR,1,Depth,0.6873955032243952,52.76605646837125,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\GBR_permutation_sensitivity.csv
regression,AC,fs3,GBR,2,FF,0.4271592918291648,32.78972761375386,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\GBR_permutation_sensitivity.csv
regression,AC,fs3,GBR,3,LL,0.116753139525999,8.962238950052322,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\GBR_permutation_sensitivity.csv
regression,AC,fs3,GBR,4,Distance,0.0619963841355904,4.758984734099295,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\GBR_permutation_sensitivity.csv
regression,AC,fs3,GBR,5,PL,0.0086304186755034,0.6624907451986046,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\GBR_permutation_sensitivity.csv
regression,AC,fs3,KNN,1,FF,0.5215260166686304,28.772513638553352,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\KNN_permutation_sensitivity.csv
regression,AC,fs3,KNN,2,Distance,0.400441693645418,22.09230934528605,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\KNN_permutation_sensitivity.csv
regression,AC,fs3,KNN,3,PL,0.281990505300135,15.557374704943868,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\KNN_permutation_sensitivity.csv
regression,AC,fs3,KNN,4,LL,0.2222074497066414,12.25915232017046,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\KNN_permutation_sensitivity.csv
regression,AC,fs3,KNN,5,Depth,0.2040030427849802,11.254817867632347,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\KNN_permutation_sensitivity.csv
regression,AC,fs3,LASSO,1,FF,0.5665185170554705,52.7628409635679,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\LASSO_permutation_sensitivity.csv
regression,AC,fs3,LASSO,2,LL,0.38077812868512,35.463864359884255,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\LASSO_permutation_sensitivity.csv
regression,AC,fs3,LASSO,3,PL,0.0640603231250587,5.966273898142142,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\LASSO_permutation_sensitivity.csv
regression,AC,fs3,LASSO,4,Depth,0.0479369234642594,4.464617118207621,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\LASSO_permutation_sensitivity.csv
regression,AC,fs3,LASSO,5,Distance,0.0144134871621178,1.3424036601980784,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\LASSO_permutation_sensitivity.csv
regression,AC,fs3,MLR,1,FF,0.6035320903186793,44.889126884639175,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\MLR_permutation_sensitivity.csv
regression,AC,fs3,MLR,2,LL,0.521720291611822,38.8041808283764,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\MLR_permutation_sensitivity.csv
regression,AC,fs3,MLR,3,PL,0.1285803961488303,9.563471123058818,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\MLR_permutation_sensitivity.csv
regression,AC,fs3,MLR,4,Depth,0.0515487251228295,3.834058370547036,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\MLR_permutation_sensitivity.csv
regression,AC,fs3,MLR,5,Distance,0.0389438403732934,2.896540250194212,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\MLR_permutation_sensitivity.csv
regression,AC,fs3,RF,1,Depth,0.746205595079625,53.549759684806105,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\RF_permutation_sensitivity.csv
regression,AC,fs3,RF,2,FF,0.4289502050894999,30.782642948207787,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\RF_permutation_sensitivity.csv
regression,AC,fs3,RF,3,LL,0.1145382067271833,8.219575791729124,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\RF_permutation_sensitivity.csv
regression,AC,fs3,RF,4,Distance,0.0782065294489426,5.612315004588931,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\RF_permutation_sensitivity.csv
regression,AC,fs3,RF,5,PL,0.0183699908738201,1.3182809177411494,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\RF_permutation_sensitivity.csv
regression,AC,fs3,RIDGE,1,FF,0.3919024335117353,62.02138406121501,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\RIDGE_permutation_sensitivity.csv
regression,AC,fs3,RIDGE,2,LL,0.1407684859692855,22.27762724967969,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\RIDGE_permutation_sensitivity.csv
regression,AC,fs3,RIDGE,3,Depth,0.0563602317010071,8.919412785433902,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\RIDGE_permutation_sensitivity.csv
regression,AC,fs3,RIDGE,4,Ucs_class,0.0213160421325519,3.373417265928909,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\RIDGE_permutation_sensitivity.csv
regression,AC,fs3,RIDGE,5,PL,0.0213156733254157,3.37335889954207,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\RIDGE_permutation_sensitivity.csv
regression,AC,fs3,SVR,1,FF,0.3126671440010324,32.97048058559984,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\SVR_permutation_sensitivity.csv
regression,AC,fs3,SVR,2,Distance,0.1684467742815071,17.76256702283055,G:\Researching\GT_GL_MLops\GLFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\SVR_permutation_sensitivity.csv
