statistical_rank,selection_rank,test_performance_rank,generalization_rank,model,feature_set,target,statistical_score,selection_rank_score,rank_stability,generalization_rank_score,test_rank_score,r2_train,cv_r2_mean,cv_r2_std,r2_test,mae_test,rmse_test,ioa_test,p20_test,train_cv_gap,cv_test_gap,abs_train_cv_gap,abs_cv_test_gap,possible_overfitting,possible_underfitting,high_cv_instability,stable_generalization,generalization_diagnosis,rank_cv_r2,rank_cv_stability,rank_train_cv_gap,rank_test_r2,rank_test_rmse,rank_test_mae,equal_score,equal_rank,performance_focused_score,performance_focused_rank,stability_focused_score,stability_focused_rank,sensitivity_mean_rank,sensitivity_median_rank,sensitivity_min_rank,sensitivity_max_rank,sensitivity_rank_range,sensitivity_rank_sd,first_place_count,first_place_rate,weight_sensitivity_diagnosis,mc_mean_rank,mc_median_rank,mc_min_rank,mc_max_rank,mc_rank_range,mc_rank_sd,mc_first_place_count,mc_first_place_rate,mc_top3_count,mc_top3_rate,mc_weight_sensitivity_diagnosis,robustness_rank_score,robustness_rank,recommended_rank_score,recommended_rank,file
35,35,26,41,KNN,fs4,AC,0.364444,30.800000,0.754284,36.000000,26.400000,0.999964,0.190218,0.310903,0.351861,0.173605,0.228261,0.791445,48.000000,0.809747,-0.161643,0.809747,0.161643,True,False,True,False,Overfitting with high CV instability,29.000000,21.000000,46.000000,26.000000,26.000000,28.000000,32.000000,37,30.350000,31,31.700000,37,35.000000,37.000000,31.000000,37.000000,6.000000,3.464102,0,0.000000,Unstable selection,33.719000,33.000000,26,42,16,4.705122,0,0.000000,0,0.000000,Unstable selection,31.775000,39,36.600000,37,KNN_fs4_AC.pkl
36,36,29,28,LASSO,fs2,AC,0.346667,31.600000,0.747869,27.000000,29.800000,0.471476,0.157095,0.511792,0.338231,0.182615,0.230648,0.782858,40.000000,0.314381,-0.181136,0.314381,0.181136,True,False,True,False,Overfitting with high CV instability,33.000000,42.000000,17.000000,29.000000,29.000000,33.000000,30.666667,35,31.950000,34,30.900000,36,35.000000,35.000000,34.000000,36.000000,2.000000,1.000000,0,0.000000,Weight-sensitive,34.455000,35.000000,27,39,12,3.019784,0,0.000000,0,0.000000,Unstable selection,31.150000,35,35.600000,34,LASSO_fs2_AC.pkl
37,37,42,18,EN,fs3,AC,0.333333,32.200000,0.746551,20.800000,40.600000,0.394849,0.083654,0.344713,0.249992,0.209532,0.245544,0.719296,36.000000,0.311196,-0.166338,0.311196,0.166338,True,True,True,False,Possible underfitting,39.000000,28.000000,16.000000,40.000000,40.000000,43.000000,27.666667,30,33.900000,38,28.800000,33,33.666667,33.000000,30.000000,38.000000,8.000000,4.041452,0,0.000000,Unstable selection,36.057000,36.000000,31,39,8,1.814123,0,0.000000,0,0.000000,Unstable selection,30.625000,34,35.800000,36,EN_fs3_AC.pkl
38,38,32,45,KNN,fs1,AC,0.311111,33.200000,0.831110,43.000000,31.600000,1.000000,0.220462,0.491990,0.307792,0.161353,0.235893,0.783137,57.333333,0.779538,-0.087330,0.779538,0.087330,True,False,True,False,Overfitting with high CV instability,27.000000,40.000000,45.000000,34.000000,34.000000,22.000000,37.333333,42,31.650000,33,36.300000,41,38.666667,41.000000,33.000000,42.000000,9.000000,4.932883,0,0.000000,Unstable selection,36.055000,37.000000,30,42,12,3.431873,0,0.000000,0,0.000000,Unstable selection,32.475000,40,38.800000,40,KNN_fs1_AC.pkl
39,39,33,32,MLR,fs2,AC,0.275556,34.800000,0.804038,31.000000,32.600000,0.474640,0.112452,0.547351,0.315493,0.184438,0.234577,0.784104,40.000000,0.362188,-0.203041,0.362188,0.203041,True,False,True,False,Overfitting with high CV instability,36.000000,43.000000,23.000000,32.000000,32.000000,35.000000,34.000000,40,35.100000,39,34.200000,40,39.666667,40.000000,39.000000,40.000000,1.000000,0.577350,0,0.000000,Weight-sensitive,38.595000,39.000000,34,41,7,1.916938,0,0.000000,0,0.000000,Unstable selection,31.725000,37,38.200000,38,MLR_fs2_AC.pkl
40,40,39,28,RIDGE,fs3,AC,0.262222,35.400000,0.798119,27.000000,38.800000,0.420190,0.075947,0.414541,0.285235,0.201986,0.239706,0.726470,38.666667,0.344243,-0.209288,0.344243,0.209288,True,False,True,False,Overfitting with high CV instability,40.000000,36.000000,21.000000,38.000000,38.000000,42.000000,32.333333,38,36.550000,41,33.100000,38,39.000000,38.000000,38.000000,41.000000,3.000000,1.732051,0,0.000000,Unstable selection,39.837000,40.000000,36,42,6,1.366125,0,0.000000,0,0.000000,Weight-sensitive,31.375000,36,38.400000,39,RIDGE_fs3_AC.pkl
41,41,43,27,RIDGE,fs1,AC,0.240000,36.400000,0.756780,26.000000,41.800000,0.377449,0.051261,0.434502,0.223603,0.199647,0.249827,0.668954,49.333333,0.326188,-0.172342,0.326188,0.172342,True,True,True,False,Possible underfitting,42.000000,38.000000,18.000000,42.000000,42.000000,41.000000,32.666667,39,37.800000,42,33.600000,39,40.000000,39.000000,39.000000,42.000000,3.000000,1.732051,0,0.000000,Unstable selection,41.233000,42.000000,35,43,8,1.800542,0,0.000000,0,0.000000,Unstable selection,32.775000,42,41.400000,41,RIDGE_fs1_AC.pkl
42,42,38,46,KNN,fs3,AC,0.231111,36.800000,0.866468,44.600000,37.400000,1.000000,0.167050,0.502371,0.249258,0.164323,0.245665,0.752200,58.666667,0.832950,-0.082208,0.832950,0.082208,True,False,True,False,Overfitting with high CV instability,32.000000,41.000000,47.000000,41.000000,41.000000,23.000000,40.000000,44,35.600000,40,39.200000,44,42.666667,44.000000,40.000000,44.000000,4.000000,2.309401,0,0.000000,Unstable selection,40.444000,41.000000,33,46,13,2.536000,0,0.000000,0,0.000000,Unstable selection,33.125000,44,42.800000,43,KNN_fs3_AC.pkl
43,43,30,40,LASSO,fs3,AC,0.182222,39.000000,0.829957,34.200000,31.200000,0.468804,0.074800,0.572644,0.328341,0.185393,0.232365,0.779189,38.666667,0.394004,-0.253542,0.394004,0.253542,True,False,True,False,Overfitting with high CV instability,41.000000,45.000000,27.000000,30.000000,30.000000,36.000000,37.666667,43,39.500000,44,38.000000,43,43.333333,43.000000,43.000000,44.000000,1.000000,0.577350,0,0.000000,Weight-sensitive,43.345000,44.000000,40,45,5,1.134576,0,0.000000,0,0.000000,Weight-sensitive,32.550000,41,42.200000,42,LASSO_fs3_AC.pkl
44,44,23,48,KNN,fs2,AC,0.160000,40.000000,0.880043,47.600000,23.400000,1.000000,0.129936,0.634339,0.381588,0.160525,0.222965,0.816256,57.333333,0.870064,-0.251652,0.870064,0.251652,True,False,True,False,Overfitting with high CV instability,35.000000,47.000000,48.000000,24.000000,24.000000,21.000000,43.333333,47,38.750000,43,42.500000,47,45.666667,47.000000,43.000000,47.000000,4.000000,2.309401,0,0.000000,Unstable selection,43.957000,44.000000,41,47,6,1.704716,0,0.000000,0,0.000000,Unstable selection,33.350000,46,44.800000,44,KNN_fs2_AC.pkl
45,45,45,31,RIDGE,fs4,AC,0.151111,40.400000,0.817410,30.000000,45.000000,0.211951,-0.189095,0.389212,-0.093331,0.245288,0.296465,0.522734,41.333333,0.401046,-0.095763,0.401046,0.095763,True,True,True,False,Possible underfitting,47.000000,33.000000,28.000000,45.000000,45.000000,45.000000,36.000000,41,42.050000,45,37.100000,42,42.666667,42.000000,41.000000,45.000000,4.000000,2.081666,0,0.000000,Unstable selection,44.837000,45.000000,43,47,4,1.295419,0,0.000000,0,0.000000,Weight-sensitive,33.325000,45,45.000000,46,RIDGE_fs4_AC.pkl
46,46,37,42,MLR,fs1,AC,0.124444,41.600000,0.876101,36.800000,37.200000,0.419587,0.014822,0.570441,0.288807,0.186864,0.239106,0.733988,46.666667,0.404766,-0.273985,0.404766,0.273985,True,False,True,False,Overfitting with high CV instability,44.000000,44.000000,32.000000,37.000000,37.000000,38.000000,40.000000,44,42.200000,46,40.400000,45,45.000000,45.000000,44.000000,46.000000,2.000000,1.000000,0,0.000000,Weight-sensitive,45.737000,46.000000,44,47,3,0.669537,0,0.000000,0,0.000000,Weight-sensitive,32.975000,43,44.800000,44,MLR_fs1_AC.pkl
47,47,31,44,MLR,fs3,AC,0.115556,42.000000,0.899017,39.400000,31.600000,0.475306,0.047553,0.615628,0.323103,0.183206,0.233270,0.783542,40.000000,0.427753,-0.275550,0.427753,0.275550,True,False,True,False,Overfitting with high CV instability,43.000000,46.000000,35.000000,31.000000,31.000000,34.000000,41.333333,46,42.250000,47,41.500000,46,46.333333,46.000000,46.000000,47.000000,1.000000,0.577350,0,0.000000,Weight-sensitive,46.462000,47.000000,45,47,2,0.728757,0,0.000000,0,0.000000,Weight-sensitive,33.625000,48,47.400000,47,MLR_fs3_AC.pkl
48,48,46,47,MLR,fs4,AC,0.000000,47.200000,0.961163,45.600000,46.000000,0.227607,-0.367696,0.697663,-0.150056,0.249591,0.304058,0.535650,34.666667,0.595303,-0.217639,0.595303,0.217639,True,True,True,False,Possible underfitting,48.000000,48.000000,44.000000,46.000000,46.000000,46.000000,46.666667,48,47.400000,48,46.800000,48,48.000000,48.000000,48.000000,48.000000,0.000000,0.000000,0,0.000000,Weight-sensitive,48.000000,48.000000,48,48,0,0.000000,0,0.000000,0,0.000000,Weight-sensitive,33.575000,47,47.600000,48,MLR_fs4_AC.pkl
