statistical_rank,selection_rank,test_performance_rank,generalization_rank,model,feature_set,target,statistical_score,selection_rank_score,rank_stability,generalization_rank_score,test_rank_score,r2_train,cv_r2_mean,cv_r2_std,r2_test,mae_test,rmse_test,ioa_test,p20_test,train_cv_gap,cv_test_gap,abs_train_cv_gap,abs_cv_test_gap,possible_overfitting,possible_underfitting,high_cv_instability,stable_generalization,generalization_diagnosis,rank_cv_r2,rank_cv_stability,rank_train_cv_gap,rank_test_r2,rank_test_rmse,rank_test_mae,equal_score,equal_rank,performance_focused_score,performance_focused_rank,stability_focused_score,stability_focused_rank,sensitivity_mean_rank,sensitivity_median_rank,sensitivity_min_rank,sensitivity_max_rank,sensitivity_rank_range,sensitivity_rank_sd,first_place_count,first_place_rate,weight_sensitivity_diagnosis,mc_mean_rank,mc_median_rank,mc_min_rank,mc_max_rank,mc_rank_range,mc_rank_sd,mc_first_place_count,mc_first_place_rate,mc_top3_count,mc_top3_rate,mc_weight_sensitivity_diagnosis,robustness_rank_score,robustness_rank,recommended_rank_score,recommended_rank,file
13,13,13,17,DT,fs1,AC,0.715556,15.000000,0.618434,20.400000,12.600000,0.845050,0.441219,0.187506,0.544869,0.139822,0.191278,0.859191,69.333333,0.403831,-0.103649,0.403831,0.103649,True,False,False,False,Possible overfitting,13.000000,6.000000,30.000000,13.000000,13.000000,11.000000,16.333333,11,14.500000,13,16.000000,12,12.000000,12.000000,11.000000,13.000000,2.000000,1.000000,0,0.000000,Weight-sensitive,13.235000,13.000000,10,19,9,1.834432,0,0.000000,0,0.000000,Unstable selection,19.925000,13,13.000000,13,DT_fs1_AC.pkl
14,14,27,7,SVR,fs1,AC,0.675556,16.800000,0.652152,11.600000,28.200000,0.507844,0.279561,0.316814,0.345399,0.173685,0.229396,0.759476,50.666667,0.228282,-0.065837,0.228282,0.065837,True,False,True,False,Overfitting with high CV instability,19.000000,23.000000,4.000000,28.000000,28.000000,29.000000,15.333333,8,17.350000,14,15.700000,10,10.666667,10.000000,8.000000,14.000000,6.000000,3.055050,0,0.000000,Unstable selection,13.089000,14.000000,5,19,14,3.237215,0,0.000000,0,0.000000,Unstable selection,21.575000,16,14.800000,15,SVR_fs1_AC.pkl
15,15,25,9,SVR,fs3,AC,0.653333,17.800000,0.861553,14.400000,26.200000,0.589652,0.278980,0.253303,0.362109,0.178143,0.226449,0.746134,46.666667,0.310672,-0.083129,0.310672,0.083129,True,False,True,False,Overfitting with high CV instability,20.000000,15.000000,14.000000,25.000000,25.000000,31.000000,16.333333,11,18.350000,15,16.700000,15,13.666667,15.000000,11.000000,15.000000,4.000000,2.309401,0,0.000000,Unstable selection,14.448000,15.000000,11,18,7,1.362039,0,0.000000,0,0.000000,Weight-sensitive,20.025000,14,14.600000,14,SVR_fs3_AC.pkl
16,16,34,24,ANN,fs3,AC,0.613333,19.600000,0.835839,22.800000,33.600000,0.654822,0.318069,0.344087,0.294217,0.167048,0.238195,0.764836,60.000000,0.336752,0.023852,0.336752,0.023852,True,False,True,False,Overfitting with high CV instability,17.000000,27.000000,20.000000,36.000000,36.000000,24.000000,21.333333,21,18.950000,16,20.900000,21,19.333333,21.000000,16.000000,21.000000,5.000000,2.886751,0,0.000000,Unstable selection,16.466000,17.000000,14,19,5,1.061117,0,0.000000,0,0.000000,Weight-sensitive,20.075000,15,15.600000,16,ANN_fs3_AC.pkl
17,17,24,11,SVR,fs2,AC,0.600000,20.200000,0.756325,14.800000,24.400000,0.552873,0.270079,0.315522,0.389746,0.176651,0.221489,0.781559,46.666667,0.282795,-0.119667,0.282795,0.119667,True,False,True,False,Overfitting with high CV instability,23.000000,22.000000,10.000000,23.000000,23.000000,30.000000,18.333333,20,20.900000,19,18.800000,17,18.666667,19.000000,17.000000,20.000000,3.000000,1.527525,0,0.000000,Unstable selection,18.091000,18.000000,11,23,12,2.614872,0,0.000000,0,0.000000,Unstable selection,22.650000,18,17.400000,17,SVR_fs2_AC.pkl
18,18,15,37,RF,fs4,AC,0.577778,21.200000,0.708288,33.600000,14.200000,0.896400,0.439262,0.324379,0.533160,0.147302,0.193723,0.825644,54.666667,0.457138,-0.093898,0.457138,0.093898,True,False,True,False,Overfitting with high CV instability,14.000000,24.000000,40.000000,14.000000,14.000000,15.000000,26.000000,24,19.400000,17,24.800000,23,21.333333,23.000000,17.000000,24.000000,7.000000,3.785939,0,0.000000,Unstable selection,18.151000,18.000000,14,29,15,3.478548,0,0.000000,0,0.000000,Unstable selection,23.450000,19,18.400000,18,RF_fs4_AC.pkl
19,19,35,6,SVR,fs4,AC,0.555556,22.200000,0.648819,10.600000,34.400000,0.480962,0.187782,0.218794,0.306073,0.180948,0.236186,0.705645,50.666667,0.293180,-0.118292,0.293180,0.118292,True,False,True,False,Overfitting with high CV instability,30.000000,10.000000,11.000000,35.000000,35.000000,32.000000,17.000000,16,24.150000,24,18.300000,16,18.666667,16.000000,16.000000,24.000000,8.000000,4.618802,0,0.000000,Unstable selection,21.051000,21.000000,16,27,11,2.740787,0,0.000000,0,0.000000,Unstable selection,24.100000,20,19.400000,20,SVR_fs4_AC.pkl
20,20,41,34,DT,fs4,AC,0.551111,22.400000,0.775557,32.400000,40.200000,0.820552,0.394218,0.359058,0.090429,0.169255,0.270405,0.700957,54.666667,0.426335,0.303788,0.426335,0.303788,True,False,True,False,Overfitting with high CV instability,16.000000,30.000000,34.000000,44.000000,44.000000,25.000000,26.666667,27,20.800000,18,25.600000,24,23.000000,24.000000,18.000000,27.000000,9.000000,4.582576,0,0.000000,Unstable selection,20.035000,20.000000,16,27,11,1.692525,0,0.000000,0,0.000000,Unstable selection,22.125000,17,18.800000,19,DT_fs4_AC.pkl
21,21,12,19,ANN,fs2,AC,0.542222,22.800000,0.655118,21.000000,12.200000,0.549358,0.272263,0.436023,0.549143,0.145111,0.190378,0.822450,53.333333,0.277095,-0.276880,0.277095,0.276880,True,False,True,False,Overfitting with high CV instability,22.000000,39.000000,9.000000,12.000000,12.000000,13.000000,23.333333,22,22.600000,22,23.200000,22,22.000000,22.000000,22.000000,22.000000,0.000000,0.000000,0,0.000000,Weight-sensitive,21.521000,21.000000,9,32,23,5.294487,0,0.000000,0,0.000000,Unstable selection,25.900000,24,22.200000,23,ANN_fs2_AC.pkl
22,22,8,43,RF,fs1,AC,0.528889,23.400000,0.730327,37.000000,8.000000,0.907631,0.433330,0.371250,0.614523,0.124863,0.176034,0.869878,61.333333,0.474302,-0.181193,0.474302,0.181193,True,False,True,False,Overfitting with high CV instability,15.000000,31.000000,41.000000,8.000000,8.000000,8.000000,29.000000,33,21.300000,20,27.600000,30,27.666667,30.000000,20.000000,33.000000,13.000000,6.806859,0,0.000000,Unstable selection,21.936000,22.000000,15,32,17,3.441765,0,0.000000,0,0.000000,Unstable selection,25.375000,22,22.000000,21,RF_fs1_AC.pkl
