model,feature_set,target,file,pipeline_contains_preprocessing,n_features,n_train,n_test,best_params,validation_split_used,r2_train,mae_train,mse_train,rmse_train,bias_train,ioa_train,ios_train,p20_train,ad_stat_train,r2_test,mae_test,mse_test,rmse_test,bias_test,ioa_test,ios_test,p20_test,ad_stat_test,cv_r2_mean,cv_r2_std,cv_r2_min,cv_r2_max,cv_mode,cv_folds,cv_repeats,train_cv_gap,cv_test_gap,abs_train_cv_gap,abs_cv_test_gap,possible_overfitting,possible_underfitting,high_cv_instability,holdout_sensitive,stable_generalization,generalization_diagnosis,rank_cv_r2,rank_cv_stability,rank_train_cv_gap,selection_rank_score,Selection Rank,rank_test_r2,rank_test_rmse,rank_test_mae,test_rank_score,Test Performance Rank,fs,test_shift,statistical_rank,selection_rank,statistical_score,statistical_score_ci_lower,statistical_score_ci_upper,statistical_score_ci_width,rank_stability,test_performance_rank,generalization_rank_score,generalization_rank,equal_score,equal_rank,performance_focused_score,performance_focused_rank,stability_focused_score,stability_focused_rank,sensitivity_mean_rank,sensitivity_median_rank,sensitivity_min_rank,sensitivity_max_rank,sensitivity_rank_range,sensitivity_rank_sd,first_place_count,first_place_rate,weight_sensitivity_diagnosis,mc_mean_rank,mc_median_rank,mc_min_rank,mc_max_rank,mc_rank_range,mc_rank_sd,mc_first_place_count,mc_first_place_rate,mc_top3_count,mc_top3_rate,mc_weight_sensitivity_diagnosis,robustness_rank_score,robustness_rank,recommended_rank_score,recommended_rank
LASSO,fs1,AC,LASSO_fs1_AC.pkl,True,4,257,75,"{""alpha"": 0.1, ""max_iter"": 10000, ""selection"": ""cyclic""}",False,0.320805,0.266731,0.132737,0.364331,0.000000,0.615464,0.175867,36.575875,18.188074,0.190747,0.212710,0.065055,0.255058,0.125588,0.651623,0.100415,37.333333,4.514543,0.087358,0.227766,-0.203199,0.337143,group,5,1,0.233447,-0.103389,0.233447,0.103389,True,True,True,False,False,Possible underfitting,38.000000,11.000000,5.000000,26.000000,26,43.000000,43.000000,44.000000,43.200000,44,fs1,False,26,26,0.471111,,,,0.556368,44,7.400000,4,18.000000,19,29.000000,29,20.000000,20,22.666667,20.000000,19.000000,29.000000,10.000000,5.507571,0,0.000000,Unstable selection,26.492000,27.000000,20,34,14,3.587591,0,0.000000,0,0.000000,Unstable selection,27.600000,26,26.000000,26
EN,fs2,AC,EN_fs2_AC.pkl,True,5,257,75,"{""selection"": ""cyclic"", ""max_iter"": 10000, ""l1_ratio"": 0.25, ""alpha"": 0.1}",False,0.445658,0.234592,0.108336,0.329145,0.000000,0.748065,0.255459,41.634241,10.908653,0.351635,0.186319,0.052121,0.228300,0.102453,0.763965,0.194789,38.666667,3.160569,0.172381,0.425821,-0.315146,0.622102,group,5,1,0.273277,-0.179254,0.273277,0.179254,True,False,True,False,False,Overfitting with high CV instability,31.000000,37.000000,7.000000,27.400000,27,27.000000,27.000000,37.000000,29.000000,28,fs2,False,27,27,0.440000,,,,0.658562,28,19.000000,15,25.000000,23,28.300000,28,25.600000,24,25.000000,24.000000,23.000000,28.000000,5.000000,2.645751,0,0.000000,Unstable selection,27.741000,29.000000,15,35,20,4.765357,0,0.000000,0,0.000000,Unstable selection,29.625000,30,28.200000,28
ET,fs4,AC,ET_fs4_AC.pkl,True,4,257,75,"{""n_estimators"": 200, ""min_samples_split"": 12, ""min_samples_leaf"": 2, ""max_features"": 0.75, ""max_depth"": 10, ""bootstrap"": false}",False,0.803665,0.130944,0.038370,0.195883,-0.000000,0.933398,0.556903,75.486381,9.798750,0.499037,0.154760,0.040272,0.200678,0.041210,0.794454,0.292213,54.666667,2.214648,0.246121,0.295494,-0.243917,0.509512,group,5,1,0.557544,-0.252916,0.557544,0.252916,True,False,True,True,False,Overfitting with high CV instability,25.000000,20.000000,43.000000,27.600000,28,17.000000,17.000000,18.000000,17.200000,17,fs4,True,28,28,0.435556,,,,0.748102,17,33.800000,38,29.333333,34,26.950000,26,28.900000,34,31.333333,34.000000,26.000000,34.000000,8.000000,4.618802,0,0.000000,Unstable selection,28.663000,27.000000,22,39,17,4.186282,0,0.000000,0,0.000000,Unstable selection,28.000000,27,27.900000,27
ET,fs3,AC,ET_fs3_AC.pkl,True,6,257,75,"{""n_estimators"": 600, ""min_samples_split"": 8, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""max_depth"": 7, ""bootstrap"": true}",False,0.715315,0.173511,0.055637,0.235874,-0.000382,0.885931,0.466441,58.754864,9.038978,0.442121,0.171562,0.044847,0.211771,0.094402,0.779071,0.253087,44.000000,4.693848,0.230658,0.284520,-0.161185,0.446879,group,5,1,0.484657,-0.211463,0.484657,0.211463,True,False,True,True,False,Overfitting with high CV instability,26.000000,18.000000,42.000000,27.600000,28,20.000000,20.000000,26.000000,21.200000,21,fs3,True,28,28,0.435556,,,,0.741806,21,32.400000,34,28.666667,32,27.200000,27,28.400000,32,30.333333,32.000000,27.000000,32.000000,5.000000,2.886751,0,0.000000,Unstable selection,28.894000,28.000000,20,39,19,4.295721,0,0.000000,0,0.000000,Unstable selection,28.775000,28,28.300000,29
EN,fs4,AC,EN_fs4_AC.pkl,True,4,257,75,"{""selection"": ""random"", ""max_iter"": 10000, ""l1_ratio"": 0.5, ""alpha"": 1.0}",False,0.000000,0.349872,0.195433,0.442078,0.000000,0.000000,0.000000,24.513619,15.552030,-0.256100,0.274134,0.100976,0.317767,0.143483,0.392494,-0.120758,33.333333,3.653700,-0.173678,0.186740,-0.483913,-0.014958,group,5,1,0.173678,0.082421,0.173678,0.082421,False,True,False,False,False,Possible underfitting,45.500000,3.500000,1.500000,28.300000,30,47.500000,47.500000,47.500000,47.500000,47,fs4,False,30,30,0.420000,,,,0.453482,47,2.300000,1,16.833333,14,32.600000,36,19.700000,18,22.666667,18.000000,14.000000,36.000000,22.000000,11.718931,0,0.000000,Unstable selection,30.682000,31.000000,21,40,19,4.526076,0,0.000000,0,0.000000,Unstable selection,30.050000,32,31.300000,30
LASSO,fs4,AC,LASSO_fs4_AC.pkl,True,4,257,75,"{""alpha"": 1.0, ""max_iter"": 10000, ""selection"": ""cyclic""}",False,0.000000,0.349872,0.195433,0.442078,0.000000,0.000000,0.000000,24.513619,15.552030,-0.256100,0.274134,0.100976,0.317767,0.143483,0.392494,-0.120758,33.333333,3.653700,-0.173678,0.186740,-0.483913,-0.014958,group,5,1,0.173678,0.082421,0.173678,0.082421,False,True,False,False,False,Possible underfitting,45.500000,3.500000,1.500000,28.300000,30,47.500000,47.500000,47.500000,47.500000,47,fs4,False,30,30,0.420000,,,,0.453482,47,2.300000,1,16.833333,14,32.600000,36,19.700000,18,22.666667,18.000000,14.000000,36.000000,22.000000,11.718931,0,0.000000,Unstable selection,30.682000,31.000000,21,40,19,4.526076,0,0.000000,0,0.000000,Unstable selection,30.050000,32,31.300000,30
ANN,fs4,AC,ANN_fs4_AC.pkl,True,4,257,75,"{""solver"": ""adam"", ""max_iter"": 2000, ""learning_rate_init"": 0.003, ""hidden_layer_sizes"": [16], ""early_stopping"": true, ""batch_size"": 32, ""alpha"": 0.1, ""activation"": ""relu""}",False,0.639589,0.193749,0.070436,0.265398,0.009402,0.872482,0.399658,53.696498,3.022198,0.414137,0.172226,0.047097,0.217018,0.054667,0.784094,0.234583,48.000000,1.264664,0.199806,0.331052,-0.271212,0.565547,group,5,1,0.439783,-0.214331,0.439783,0.214331,True,False,True,True,False,Overfitting with high CV instability,28.000000,26.000000,38.000000,29.600000,32,21.000000,21.000000,27.000000,22.200000,22,fs4,True,32,32,0.391111,,,,0.853844,22,33.200000,36,30.666667,35,29.200000,30,30.400000,35,33.333333,35.000000,30.000000,35.000000,5.000000,2.886751,0,0.000000,Unstable selection,31.903000,32.000000,28,38,10,2.925089,0,0.000000,0,0.000000,Unstable selection,29.700000,31,31.600000,33
RIDGE,fs2,AC,RIDGE_fs2_AC.pkl,True,5,257,75,"{""alpha"": 100.0, ""solver"": ""auto""}",False,0.433319,0.242318,0.110748,0.332788,0.000000,0.725815,0.247218,41.634241,10.595616,0.314588,0.194886,0.055099,0.234732,0.103720,0.738120,0.172104,38.666667,2.786902,0.131389,0.405238,-0.403819,0.564559,group,5,1,0.301930,-0.183199,0.301930,0.183199,True,False,True,False,False,Overfitting with high CV instability,34.000000,35.000000,13.000000,30.000000,33,33.000000,33.000000,40.000000,34.400000,35,fs2,False,33,33,0.382222,,,,0.729341,35,21.800000,21,27.333333,29,31.000000,32,28.000000,31,30.666667,31.000000,29.000000,32.000000,3.000000,1.527525,0,0.000000,Unstable selection,31.749000,32.000000,23,36,13,2.820985,0,0.000000,0,0.000000,Unstable selection,29.600000,29,31.400000,32
EN,fs1,AC,EN_fs1_AC.pkl,True,4,257,75,"{""selection"": ""cyclic"", ""max_iter"": 10000, ""l1_ratio"": 0.5, ""alpha"": 0.1}",False,0.379396,0.247818,0.121286,0.348262,0.000000,0.689588,0.212216,41.634241,15.212676,0.268608,0.191853,0.058796,0.242478,0.103193,0.692809,0.144785,46.666667,2.757275,0.104348,0.395666,-0.445707,0.535668,group,5,1,0.275047,-0.164259,0.275047,0.164259,True,True,True,False,False,Possible underfitting,37.000000,34.000000,8.000000,30.600000,34,39.000000,39.000000,39.000000,39.000000,40,fs1,False,34,34,0.368889,,,,0.669128,40,18.400000,14,26.333333,25,32.200000,35,27.400000,29,29.666667,29.000000,25.000000,35.000000,10.000000,5.033223,0,0.000000,Unstable selection,33.304000,35.000000,22,39,17,3.875642,0,0.000000,0,0.000000,Unstable selection,31.750000,38,35.600000,35
KNN,fs4,AC,KNN_fs4_AC.pkl,True,4,257,75,"{""n_neighbors"": 7, ""p"": 2, ""weights"": ""distance""}",False,0.999964,0.000296,0.000007,0.002638,0.000000,0.999991,0.994033,100.000000,92.114286,0.351861,0.173605,0.052103,0.228261,0.038260,0.791445,0.194929,48.000000,2.615022,0.190218,0.310903,-0.271905,0.470814,group,5,1,0.809747,-0.161643,0.809747,0.161643,True,False,True,False,False,Overfitting with high CV instability,29.000000,21.000000,46.000000,30.800000,35,26.000000,26.000000,28.000000,26.400000,26,fs4,False,35,35,0.364444,,,,0.754284,26,36.000000,41,32.000000,37,30.350000,31,31.700000,37,35.000000,37.000000,31.000000,37.000000,6.000000,3.464102,0,0.000000,Unstable selection,33.719000,33.000000,26,42,16,4.705122,0,0.000000,0,0.000000,Unstable selection,31.775000,39,36.600000,37
