task,target,feature_set,model,rank,feature,mean_importance,relative_contribution_percent,source_file
regression,AC,fs3,RF,4,Ucs_class,0.041762964402474,2.9942543315863204,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\RF_permutation_sensitivity.csv
regression,AC,fs3,RIDGE,1,FF,0.4372936379804987,69.51199696264537,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\RIDGE_permutation_sensitivity.csv
regression,AC,fs3,RIDGE,2,LL,0.1451084578992344,23.06637419041427,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\RIDGE_permutation_sensitivity.csv
regression,AC,fs3,RIDGE,3,PL,0.0253975269409968,4.037179282402474,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\RIDGE_permutation_sensitivity.csv
regression,AC,fs3,RIDGE,4,Ucs_class,0.0212912637718293,3.384449564537883,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\RIDGE_permutation_sensitivity.csv
regression,AC,fs3,SVR,1,FF,0.4038088053822148,56.295540884329576,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\SVR_permutation_sensitivity.csv
regression,AC,fs3,SVR,2,LL,0.1861927864105484,25.957392409561187,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\SVR_permutation_sensitivity.csv
regression,AC,fs3,SVR,3,PL,0.0923341950486776,12.872437111579218,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\SVR_permutation_sensitivity.csv
regression,AC,fs3,SVR,4,Ucs_class,0.0349657952002355,4.874629594530018,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\SVR_permutation_sensitivity.csv
regression,AC,fs3,XGB,1,FF,0.446816366895732,52.40126146664346,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\XGB_permutation_sensitivity.csv
regression,AC,fs3,XGB,2,LL,0.2129327346047584,24.972102025607164,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\XGB_permutation_sensitivity.csv
regression,AC,fs3,XGB,3,PL,0.1386191785594213,16.25683470471135,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\regression_report\permutation_sensitivity\AC\fs3\XGB_permutation_sensitivity.csv
