task,target,feature_set,model,rank,feature,mean_importance,relative_contribution_percent,source_file
classification,AC,fs3,ET,3,PL,0.2966054690947716,23.39266152795447,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs3\ET_permutation_sensitivity.csv
classification,AC,fs3,ET,4,Ucs_class,0.2267368235137693,17.88226557173301,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs3\ET_permutation_sensitivity.csv
classification,AC,fs3,GBC,1,LL,0.4071260385117777,39.68716776009342,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs3\GBC_permutation_sensitivity.csv
classification,AC,fs3,GBC,2,FF,0.3295081886997443,32.120880332425514,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs3\GBC_permutation_sensitivity.csv
classification,AC,fs3,GBC,3,PL,0.2892037488638442,28.19195190748105,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs3\GBC_permutation_sensitivity.csv
classification,AC,fs3,GBC,4,Ucs_class,0.0,0.0,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs3\GBC_permutation_sensitivity.csv
classification,AC,fs3,KNN,1,FF,0.4065810872666272,30.831397160795078,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs3\KNN_permutation_sensitivity.csv
classification,AC,fs3,KNN,2,PL,0.3914504516315802,29.684027912275425,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs3\KNN_permutation_sensitivity.csv
classification,AC,fs3,KNN,3,LL,0.3198551100838109,24.254890947342048,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs3\KNN_permutation_sensitivity.csv
classification,AC,fs3,KNN,4,Ucs_class,0.2008375241269188,15.229683979587447,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs3\KNN_permutation_sensitivity.csv
classification,AC,fs3,LOGREG,1,FF,0.2208811828591554,46.65284581320853,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs3\LOGREG_permutation_sensitivity.csv
classification,AC,fs3,LOGREG,2,LL,0.2137501468824964,45.14668255565457,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs3\LOGREG_permutation_sensitivity.csv
classification,AC,fs3,LOGREG,3,PL,0.0198334573315334,4.189072219071231,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs3\LOGREG_permutation_sensitivity.csv
classification,AC,fs3,LOGREG,4,Ucs_class,0.0189922529186145,4.011399412065666,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs3\LOGREG_permutation_sensitivity.csv
classification,AC,fs3,RF,1,FF,0.3784467557498333,36.32585608882949,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs3\RF_permutation_sensitivity.csv
classification,AC,fs3,RF,2,LL,0.3778882597739106,36.27224790184066,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs3\RF_permutation_sensitivity.csv
classification,AC,fs3,RF,3,PL,0.2652048930061857,25.456143119283087,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs3\RF_permutation_sensitivity.csv
classification,AC,fs3,RF,4,Ucs_class,0.0202710671684761,1.9457528900467629,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs3\RF_permutation_sensitivity.csv
classification,AC,fs3,SVC,1,LL,0.2386053722033845,44.43351057580292,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs3\SVC_permutation_sensitivity.csv
classification,AC,fs3,SVC,2,FF,0.2218742827822128,41.31781778198496,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs3\SVC_permutation_sensitivity.csv
classification,AC,fs3,SVC,3,PL,0.0660559821359383,12.301060758726,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs3\SVC_permutation_sensitivity.csv
classification,AC,fs3,SVC,4,Ucs_class,0.0104585573757171,1.9476108834861257,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs3\SVC_permutation_sensitivity.csv
classification,AC,fs3,XGB,1,LL,0.3947893376229929,41.61304188970318,G:\Researching\GT_GL_MLops\GTFS_MLops_2026\classification_report\permutation_sensitivity\AC\fs3\XGB_permutation_sensitivity.csv
